Epoch:0 | loss:1.03 | acc:0.3867 | prec0:0.3864 | prec1:0.4286 | prec2:0.3821 | recall0:0.4595  | recall1:0.0800 | recall2:0.6184
Epoch:1 | loss:1.02 | acc:0.3244 | prec0:0.3514 | prec1:0.2807 | prec2:0.4054 | recall0:0.3514  | recall1:0.4267 | recall2:0.1974
Epoch:2 | loss:1.11 | acc:0.3689 | prec0:0.3750 | prec1:0.3485 | prec2:0.3789 | recall0:0.3243  | recall1:0.3067 | recall2:0.4737
Epoch:3 | loss:1.08 | acc:0.4089 | prec0:0.4167 | prec1:0.3966 | prec2:0.4247 | recall0:0.2027  | recall1:0.6133 | recall2:0.4079
Epoch:4 | loss:1.05 | acc:0.3778 | prec0:0.3871 | prec1:0.4375 | prec2:0.3500 | recall0:0.4865  | recall1:0.1867 | recall2:0.4605
Epoch:5 | loss:1.14 | acc:0.3378 | prec0:0.3889 | prec1:0.3279 | prec2:0.3412 | recall0:0.0946  | recall1:0.5333 | recall2:0.3816
Epoch:6 | loss:1.18 | acc:0.3689 | prec0:0.3619 | prec1:0.4000 | prec2:0.3538 | recall0:0.5135  | recall1:0.2933 | recall2:0.3026
Epoch:7 | loss:1.08 | acc:0.4044 | prec0:0.4096 | prec1:0.4412 | prec2:0.3889 | recall0:0.4595  | recall1:0.2000 | recall2:0.5526
Epoch:8 | loss:0.95 | acc:0.3911 | prec0:0.4366 | prec1:0.3667 | prec2:0.3824 | recall0:0.4189  | recall1:0.5867 | recall2:0.1711
Epoch:9 | loss:0.96 | acc:0.3867 | prec0:0.4052 | prec1:0.4074 | prec2:0.3537 | recall0:0.6351  | recall1:0.1467 | recall2:0.3816
Epoch:10 | loss:1.01 | acc:0.3644 | prec0:0.4038 | prec1:0.3854 | prec2:0.3117 | recall0:0.2838  | recall1:0.4933 | recall2:0.3158
Epoch:11 | loss:1.04 | acc:0.3733 | prec0:0.4308 | prec1:0.3762 | prec2:0.3051 | recall0:0.3784  | recall1:0.5067 | recall2:0.2368
Epoch:12 | loss:1.07 | acc:0.4489 | prec0:0.5192 | prec1:0.4933 | prec2:0.3776 | recall0:0.3649  | recall1:0.4933 | recall2:0.4868
Epoch:13 | loss:0.98 | acc:0.3911 | prec0:0.3956 | prec1:0.4510 | prec2:0.3494 | recall0:0.4865  | recall1:0.3067 | recall2:0.3816
Epoch:14 | loss:0.96 | acc:0.4356 | prec0:0.4206 | prec1:0.6500 | prec2:0.4051 | recall0:0.7162  | recall1:0.1733 | recall2:0.4211
Epoch:15 | loss:1.12 | acc:0.4222 | prec0:0.3984 | prec1:0.4600 | prec2:0.4423 | recall0:0.6622  | recall1:0.3067 | recall2:0.3026
Epoch:16 | loss:1.03 | acc:0.4044 | prec0:0.4655 | prec1:0.4301 | prec2:0.3243 | recall0:0.3649  | recall1:0.5333 | recall2:0.3158
Epoch:17 | loss:0.94 | acc:0.4533 | prec0:0.5167 | prec1:0.4490 | prec2:0.4030 | recall0:0.4189  | recall1:0.5867 | recall2:0.3553
Epoch:18 | loss:0.76 | acc:0.4533 | prec0:0.4928 | prec1:0.4508 | prec2:0.3824 | recall0:0.4595  | recall1:0.7333 | recall2:0.1711
Epoch:19 | loss:1.09 | acc:0.4311 | prec0:0.5000 | prec1:0.4457 | prec2:0.3704 | recall0:0.3514  | recall1:0.5467 | recall2:0.3947
Epoch:20 | loss:1.14 | acc:0.4622 | prec0:0.4235 | prec1:0.5294 | prec2:0.4444 | recall0:0.4865  | recall1:0.4800 | recall2:0.4211
Epoch:21 | loss:1.03 | acc:0.4711 | prec0:0.4651 | prec1:0.4731 | prec2:0.4783 | recall0:0.5405  | recall1:0.5867 | recall2:0.2895
Epoch:22 | loss:1.30 | acc:0.4578 | prec0:0.4409 | prec1:0.5185 | prec2:0.4359 | recall0:0.5541  | recall1:0.3733 | recall2:0.4474
Epoch:23 | loss:1.20 | acc:0.4311 | prec0:0.4286 | prec1:0.4557 | prec2:0.4000 | recall0:0.5270  | recall1:0.4800 | recall2:0.2895
Epoch:24 | loss:0.92 | acc:0.4311 | prec0:0.4151 | prec1:0.5098 | prec2:0.3971 | recall0:0.5946  | recall1:0.3467 | recall2:0.3553
