Epoch:0 | loss:1.14 | acc:0.3822 | prec0:0.4167 | prec1:0.4000 | prec2:0.3688 | recall0:0.3472  | recall1:0.0270 | recall2:0.7468
Epoch:1 | loss:1.12 | acc:0.3956 | prec0:0.3750 | prec1:0.4400 | prec2:0.4038 | recall0:0.5000  | recall1:0.1486 | recall2:0.5316
Epoch:2 | loss:1.13 | acc:0.3867 | prec0:0.4156 | prec1:0.3646 | prec2:0.3846 | recall0:0.4444  | recall1:0.4730 | recall2:0.2532
Epoch:3 | loss:1.09 | acc:0.4000 | prec0:0.3964 | prec1:0.3684 | prec2:0.4386 | recall0:0.6111  | recall1:0.2838 | recall2:0.3165
Epoch:4 | loss:1.10 | acc:0.3956 | prec0:0.4306 | prec1:0.3694 | prec2:0.4048 | recall0:0.4306  | recall1:0.5541 | recall2:0.2152
Epoch:5 | loss:1.14 | acc:0.4356 | prec0:0.4286 | prec1:0.4107 | prec2:0.4545 | recall0:0.4167  | recall1:0.3108 | recall2:0.5696
Epoch:6 | loss:1.10 | acc:0.4533 | prec0:0.4333 | prec1:0.4754 | prec2:0.4595 | recall0:0.5417  | recall1:0.3919 | recall2:0.4304
Epoch:7 | loss:0.96 | acc:0.4844 | prec0:0.4615 | prec1:0.5208 | prec2:0.4932 | recall0:0.6667  | recall1:0.3378 | recall2:0.4557
Epoch:8 | loss:1.03 | acc:0.4356 | prec0:0.4240 | prec1:0.4103 | prec2:0.5909 | recall0:0.7361  | recall1:0.4324 | recall2:0.1646
Epoch:9 | loss:0.92 | acc:0.3556 | prec0:0.3333 | prec1:0.3442 | prec2:0.4286 | recall0:0.1667  | recall1:0.7162 | recall2:0.1899
Epoch:10 | loss:0.95 | acc:0.4800 | prec0:0.5070 | prec1:0.4609 | prec2:0.4872 | recall0:0.5000  | recall1:0.7162 | recall2:0.2405
Epoch:11 | loss:1.13 | acc:0.4222 | prec0:0.4167 | prec1:0.4058 | prec2:0.4706 | recall0:0.2083  | recall1:0.7568 | recall2:0.3038
Epoch:12 | loss:1.03 | acc:0.4356 | prec0:0.6000 | prec1:0.4060 | prec2:0.4194 | recall0:0.2500  | recall1:0.7297 | recall2:0.3291
Epoch:13 | loss:0.86 | acc:0.4489 | prec0:0.3917 | prec1:0.5918 | prec2:0.4464 | recall0:0.6528  | recall1:0.3919 | recall2:0.3165
Epoch:14 | loss:0.99 | acc:0.4711 | prec0:0.4261 | prec1:0.5625 | prec2:0.4839 | recall0:0.6806  | recall1:0.3649 | recall2:0.3797
Epoch:15 | loss:0.95 | acc:0.4889 | prec0:0.5190 | prec1:0.4563 | prec2:0.5116 | recall0:0.5694  | recall1:0.6351 | recall2:0.2785
Epoch:16 | loss:1.17 | acc:0.4933 | prec0:0.4719 | prec1:0.5217 | prec2:0.4925 | recall0:0.5833  | recall1:0.4865 | recall2:0.4177
Epoch:17 | loss:0.98 | acc:0.4222 | prec0:0.3651 | prec1:0.5323 | prec2:0.4324 | recall0:0.6389  | recall1:0.4459 | recall2:0.2025
Epoch:18 | loss:0.79 | acc:0.4533 | prec0:0.5319 | prec1:0.4309 | prec2:0.4364 | recall0:0.3472  | recall1:0.7162 | recall2:0.3038
