Epoch:0 | loss:1.05 | acc:0.3733 | prec0:0.4857 | prec1:0.3519 | prec2:0.3529 | recall0:0.2000  | recall1:0.2754 | recall2:0.6761
Epoch:1 | loss:1.08 | acc:0.3022 | prec0:nan | prec1:0.3009 | prec2:0.3333 | recall0:0.0000  | recall1:0.9420 | recall2:0.0423
Epoch:2 | loss:1.06 | acc:0.3689 | prec0:0.4255 | prec1:0.2911 | prec2:0.3846 | recall0:0.4706  | recall1:0.3333 | recall2:0.2817
Epoch:3 | loss:1.07 | acc:0.4089 | prec0:0.4252 | prec1:0.3571 | prec2:0.4286 | recall0:0.6353  | recall1:0.2899 | recall2:0.2535
Epoch:4 | loss:1.12 | acc:0.3822 | prec0:0.4578 | prec1:0.3303 | prec2:0.3636 | recall0:0.4471  | recall1:0.5217 | recall2:0.1690
Epoch:5 | loss:1.06 | acc:0.3911 | prec0:0.4714 | prec1:0.3367 | prec2:0.3860 | recall0:0.3882  | recall1:0.4783 | recall2:0.3099
Epoch:6 | loss:1.14 | acc:0.3556 | prec0:0.5000 | prec1:0.3267 | prec2:0.3729 | recall0:0.0353  | recall1:0.4783 | recall2:0.6197
Epoch:7 | loss:0.99 | acc:0.3911 | prec0:0.4097 | prec1:0.3056 | prec2:0.4000 | recall0:0.6941  | recall1:0.1594 | recall2:0.2535
Epoch:8 | loss:1.06 | acc:0.3822 | prec0:0.5128 | prec1:0.3667 | prec2:0.3526 | recall0:0.2353  | recall1:0.1594 | recall2:0.7746
Epoch:9 | loss:1.10 | acc:0.3911 | prec0:0.5000 | prec1:0.3494 | prec2:0.3846 | recall0:0.2235  | recall1:0.4203 | recall2:0.5634
Epoch:10 | loss:1.15 | acc:0.3600 | prec0:0.4494 | prec1:0.2857 | prec2:0.3182 | recall0:0.4706  | recall1:0.2899 | recall2:0.2958
Epoch:11 | loss:0.92 | acc:0.3689 | prec0:0.3972 | prec1:0.2619 | prec2:0.3810 | recall0:0.6588  | recall1:0.1594 | recall2:0.2254
Epoch:12 | loss:0.96 | acc:0.3733 | prec0:0.4186 | prec1:0.3333 | prec2:0.2857 | recall0:0.6353  | recall1:0.2609 | recall2:0.1690
Epoch:13 | loss:1.05 | acc:0.3467 | prec0:0.7500 | prec1:0.3162 | prec2:0.3377 | recall0:0.1059  | recall1:0.6232 | recall2:0.3662
Epoch:14 | loss:1.14 | acc:0.3733 | prec0:0.4421 | prec1:0.3034 | prec2:0.3659 | recall0:0.4941  | recall1:0.3913 | recall2:0.2113
Epoch:15 | loss:1.08 | acc:0.3822 | prec0:0.4667 | prec1:0.3333 | prec2:0.3788 | recall0:0.3294  | recall1:0.4783 | recall2:0.3521
Epoch:16 | loss:1.05 | acc:0.4000 | prec0:0.4915 | prec1:0.3571 | prec2:0.3780 | recall0:0.3412  | recall1:0.4348 | recall2:0.4366
Epoch:17 | loss:0.99 | acc:0.4178 | prec0:0.4574 | prec1:0.3846 | prec2:0.3924 | recall0:0.5059  | recall1:0.2899 | recall2:0.4366
Epoch:18 | loss:1.20 | acc:0.4400 | prec0:0.4679 | prec1:0.4634 | prec2:0.3867 | recall0:0.6000  | recall1:0.2754 | recall2:0.4085
Epoch:19 | loss:1.08 | acc:0.3689 | prec0:0.4094 | prec1:0.2000 | prec2:0.3562 | recall0:0.6118  | recall1:0.0725 | recall2:0.3662
Epoch:20 | loss:1.11 | acc:0.3333 | prec0:0.5111 | prec1:0.2308 | prec2:0.3333 | recall0:0.2706  | recall1:0.2609 | recall2:0.4789
Epoch:21 | loss:0.83 | acc:0.4000 | prec0:0.4012 | prec1:0.3333 | prec2:0.4118 | recall0:0.7647  | recall1:0.0580 | recall2:0.2958
Epoch:22 | loss:1.09 | acc:0.3733 | prec0:0.4674 | prec1:0.3067 | prec2:0.3103 | recall0:0.5059  | recall1:0.3333 | recall2:0.2535
Epoch:23 | loss:1.09 | acc:0.3511 | prec0:0.5000 | prec1:0.3016 | prec2:0.3976 | recall0:0.0941  | recall1:0.5507 | recall2:0.4648
Epoch:24 | loss:1.03 | acc:0.3556 | prec0:0.3958 | prec1:0.3217 | prec2:0.4412 | recall0:0.2235  | recall1:0.6667 | recall2:0.2113
Epoch:25 | loss:0.99 | acc:0.3956 | prec0:0.4783 | prec1:0.3478 | prec2:0.3281 | recall0:0.5176  | recall1:0.3478 | recall2:0.2958
Epoch:26 | loss:1.09 | acc:0.3733 | prec0:0.5250 | prec1:0.3273 | prec2:0.3600 | recall0:0.2471  | recall1:0.5217 | recall2:0.3803
Epoch:27 | loss:1.06 | acc:0.3956 | prec0:0.5000 | prec1:0.3295 | prec2:0.3607 | recall0:0.4471  | recall1:0.4203 | recall2:0.3099
Epoch:28 | loss:0.96 | acc:0.4044 | prec0:0.4875 | prec1:0.3714 | prec2:0.3545 | recall0:0.4588  | recall1:0.1884 | recall2:0.5493
Epoch:29 | loss:1.10 | acc:0.4267 | prec0:0.5000 | prec1:0.3810 | prec2:0.3678 | recall0:0.5647  | recall1:0.2319 | recall2:0.4507
Epoch:30 | loss:1.03 | acc:0.4356 | prec0:0.4712 | prec1:0.4375 | prec2:0.3836 | recall0:0.5765  | recall1:0.3043 | recall2:0.3944
Epoch:31 | loss:1.12 | acc:0.4178 | prec0:0.5190 | prec1:0.3750 | prec2:0.3537 | recall0:0.4824  | recall1:0.3478 | recall2:0.4085
Epoch:32 | loss:0.96 | acc:0.4178 | prec0:0.4317 | prec1:0.3333 | prec2:0.4118 | recall0:0.7059  | recall1:0.0870 | recall2:0.3944
Epoch:33 | loss:1.26 | acc:0.4089 | prec0:0.5224 | prec1:0.3535 | prec2:0.3729 | recall0:0.4118  | recall1:0.5072 | recall2:0.3099
Epoch:34 | loss:1.12 | acc:0.3867 | prec0:0.5385 | prec1:0.3362 | prec2:0.3857 | recall0:0.2471  | recall1:0.5652 | recall2:0.3803
Epoch:35 | loss:1.04 | acc:0.3289 | prec0:nan | prec1:0.3125 | prec2:0.3505 | recall0:0.0000  | recall1:0.5797 | recall2:0.4789
Epoch:36 | loss:1.09 | acc:0.4311 | prec0:0.4474 | prec1:0.4186 | prec2:0.4118 | recall0:0.6000  | recall1:0.2609 | recall2:0.3944
Epoch:37 | loss:1.07 | acc:0.4178 | prec0:0.4505 | prec1:0.3898 | prec2:0.4000 | recall0:0.4824  | recall1:0.3333 | recall2:0.4225
Epoch:38 | loss:1.10 | acc:0.4044 | prec0:0.4886 | prec1:0.3535 | prec2:0.3421 | recall0:0.5059  | recall1:0.5072 | recall2:0.1831
Epoch:39 | loss:1.09 | acc:0.4356 | prec0:0.5102 | prec1:0.4000 | prec2:0.3462 | recall0:0.5882  | recall1:0.4348 | recall2:0.2535
Epoch:40 | loss:1.06 | acc:0.4044 | prec0:0.4297 | prec1:0.3947 | prec2:0.3559 | recall0:0.6471  | recall1:0.2174 | recall2:0.2958
Epoch:41 | loss:0.94 | acc:0.4267 | prec0:0.4060 | prec1:0.4667 | prec2:0.4516 | recall0:0.6353  | recall1:0.2029 | recall2:0.3944
Epoch:42 | loss:0.99 | acc:0.3467 | prec0:nan | prec1:0.3269 | prec2:0.3913 | recall0:0.0000  | recall1:0.7391 | recall2:0.3803
Epoch:43 | loss:0.95 | acc:0.3911 | prec0:0.4194 | prec1:0.3529 | prec2:0.3582 | recall0:0.6118  | recall1:0.1739 | recall2:0.3380
Epoch:44 | loss:1.12 | acc:0.4044 | prec0:0.4417 | prec1:0.3797 | prec2:0.3077 | recall0:0.6235  | recall1:0.4348 | recall2:0.1127
Epoch:45 | loss:1.05 | acc:0.4356 | prec0:0.4819 | prec1:0.4255 | prec2:0.4000 | recall0:0.4706  | recall1:0.2899 | recall2:0.5352
Epoch:46 | loss:1.14 | acc:0.3867 | prec0:0.4675 | prec1:0.3429 | prec2:0.3462 | recall0:0.4235  | recall1:0.3478 | recall2:0.3803
