Epoch:0 | loss:1.11 | acc:0.4133 | prec0:0.5000 | prec1:0.3824 | prec2:0.3793 | recall0:0.4000  | recall1:0.6190 | recall2:0.1667
Epoch:1 | loss:1.14 | acc:0.4044 | prec0:0.4884 | prec1:0.4375 | prec2:0.3415 | recall0:0.5600  | recall1:0.0833 | recall2:0.6364
Epoch:2 | loss:1.10 | acc:0.3867 | prec0:0.5000 | prec1:0.4091 | prec2:0.3444 | recall0:0.3467  | recall1:0.1071 | recall2:0.7879
Epoch:3 | loss:1.12 | acc:0.4133 | prec0:0.4731 | prec1:0.4074 | prec2:0.3137 | recall0:0.5867  | recall1:0.3929 | recall2:0.2424
Epoch:4 | loss:1.07 | acc:0.3778 | prec0:0.4524 | prec1:0.3000 | prec2:0.3359 | recall0:0.5067  | recall1:0.0357 | recall2:0.6667
Epoch:5 | loss:1.03 | acc:0.3822 | prec0:0.4933 | prec1:0.2778 | prec2:0.3333 | recall0:0.4933  | recall1:0.0595 | recall2:0.6667
Epoch:6 | loss:1.10 | acc:0.3956 | prec0:0.4925 | prec1:0.4000 | prec2:0.3529 | recall0:0.4400  | recall1:0.0238 | recall2:0.8182
D:\Pycharm Project\tapping\utils.py:102: RuntimeWarning: invalid value encountered in double_scalars
  prec1 = confusion[1][1] / (confusion[0][1] + confusion[1][1] + confusion[2][1])
Epoch:7 | loss:1.04 | acc:0.3867 | prec0:0.4684 | prec1:nan | prec2:0.3425 | recall0:0.4933  | recall1:0.0000 | recall2:0.7576
Epoch:8 | loss:1.10 | acc:0.3822 | prec0:0.4643 | prec1:0.3478 | prec2:0.3305 | recall0:0.5200  | recall1:0.0952 | recall2:0.5909
Epoch:9 | loss:1.13 | acc:0.3689 | prec0:0.4909 | prec1:0.3478 | prec2:0.2909 | recall0:0.3600  | recall1:0.4762 | recall2:0.2424
Epoch:10 | loss:1.16 | acc:0.3911 | prec0:0.4684 | prec1:0.3607 | prec2:0.3412 | recall0:0.4933  | recall1:0.2619 | recall2:0.4394
Epoch:11 | loss:1.08 | acc:0.3911 | prec0:0.4928 | prec1:0.3684 | prec2:0.3390 | recall0:0.4533  | recall1:0.1667 | recall2:0.6061
Epoch:12 | loss:1.13 | acc:0.3822 | prec0:0.4800 | prec1:0.2000 | prec2:0.3429 | recall0:0.4800  | recall1:0.0238 | recall2:0.7273
Epoch:13 | loss:1.08 | acc:0.3733 | prec0:0.4918 | prec1:0.0000 | prec2:0.3313 | recall0:0.4000  | recall1:0.0000 | recall2:0.8182
Epoch:14 | loss:1.18 | acc:0.3956 | prec0:0.5070 | prec1:0.2000 | prec2:0.3490 | recall0:0.4800  | recall1:0.0119 | recall2:0.7879
Epoch:15 | loss:1.09 | acc:0.3600 | prec0:0.5345 | prec1:0.2308 | prec2:0.3052 | recall0:0.4133  | recall1:0.0357 | recall2:0.7121
Epoch:16 | loss:1.04 | acc:0.3600 | prec0:0.4675 | prec1:0.2500 | prec2:0.3125 | recall0:0.4800  | recall1:0.0595 | recall2:0.6061
Epoch:17 | loss:1.16 | acc:0.3956 | prec0:0.4915 | prec1:1.0000 | prec2:0.3457 | recall0:0.3867  | recall1:0.0476 | recall2:0.8485
Epoch:18 | loss:1.10 | acc:0.3911 | prec0:0.5085 | prec1:0.3333 | prec2:0.3500 | recall0:0.4000  | recall1:0.0238 | recall2:0.8485
Epoch:19 | loss:1.11 | acc:0.3911 | prec0:0.4857 | prec1:0.0000 | prec2:0.3576 | recall0:0.4533  | recall1:0.0000 | recall2:0.8182
Epoch:20 | loss:1.03 | acc:0.3867 | prec0:0.4918 | prec1:0.3333 | prec2:0.3487 | recall0:0.4000  | recall1:0.0476 | recall2:0.8030
Epoch:21 | loss:1.03 | acc:0.4000 | prec0:0.5065 | prec1:0.1818 | prec2:0.3577 | recall0:0.5200  | recall1:0.0238 | recall2:0.7424
Epoch:22 | loss:1.07 | acc:0.3822 | prec0:0.4789 | prec1:0.2609 | prec2:0.3511 | recall0:0.4533  | recall1:0.0714 | recall2:0.6970
Epoch:23 | loss:1.14 | acc:0.3822 | prec0:0.4762 | prec1:0.3000 | prec2:0.3487 | recall0:0.4000  | recall1:0.0357 | recall2:0.8030
Epoch:24 | loss:1.15 | acc:0.3778 | prec0:0.4839 | prec1:0.2500 | prec2:0.3556 | recall0:0.4000  | recall1:0.0833 | recall2:0.7273
