Epoch:0 | loss:1.09 | acc:0.3778 | prec0:0.3704 | prec1:0.3434 | prec2:0.4306 | recall0:0.2778  | recall1:0.4928 | recall2:0.3690
Epoch:1 | loss:1.17 | acc:0.3822 | prec0:0.3545 | prec1:0.4000 | prec2:0.4091 | recall0:0.5417  | recall1:0.0290 | recall2:0.5357
Epoch:2 | loss:1.16 | acc:0.3956 | prec0:0.3607 | prec1:0.3784 | prec2:0.4697 | recall0:0.6111  | recall1:0.2029 | recall2:0.3690
Epoch:3 | loss:1.06 | acc:0.4267 | prec0:0.3838 | prec1:0.4464 | prec2:0.4714 | recall0:0.5278  | recall1:0.3623 | recall2:0.3929
Epoch:4 | loss:1.23 | acc:0.3822 | prec0:0.3636 | prec1:0.4500 | prec2:0.3846 | recall0:0.4444  | recall1:0.1304 | recall2:0.5357
Epoch:5 | loss:1.07 | acc:0.4000 | prec0:0.3718 | prec1:0.4000 | prec2:0.4227 | recall0:0.4028  | recall1:0.2899 | recall2:0.4881
Epoch:6 | loss:1.04 | acc:0.4089 | prec0:0.4074 | prec1:0.3645 | prec2:0.4844 | recall0:0.3056  | recall1:0.5652 | recall2:0.3690
Epoch:7 | loss:1.05 | acc:0.4267 | prec0:0.4070 | prec1:0.6667 | prec2:0.4231 | recall0:0.4861  | recall1:0.0870 | recall2:0.6548
Epoch:8 | loss:1.01 | acc:0.4044 | prec0:0.4154 | prec1:0.3789 | prec2:0.4308 | recall0:0.3750  | recall1:0.5217 | recall2:0.3333
Epoch:9 | loss:0.95 | acc:0.4400 | prec0:0.4429 | prec1:0.4359 | prec2:0.4416 | recall0:0.4306  | recall1:0.4928 | recall2:0.4048
Epoch:10 | loss:1.07 | acc:0.4044 | prec0:0.4262 | prec1:0.3810 | prec2:0.4474 | recall0:0.3611  | recall1:0.6957 | recall2:0.2024
Epoch:11 | loss:1.04 | acc:0.3956 | prec0:0.4082 | prec1:0.3810 | prec2:0.4200 | recall0:0.2778  | recall1:0.6957 | recall2:0.2500
Epoch:12 | loss:1.08 | acc:0.4222 | prec0:0.4386 | prec1:0.3950 | prec2:0.4694 | recall0:0.3472  | recall1:0.6812 | recall2:0.2738
