Epoch:2 | loss:1.12 | acc:0.3289 | prec0:nan | prec1:nan | prec2:0.3289 | recall0:0.0000  | recall1:0.0000 | recall2:1.0000
Epoch:3 | loss:1.07 | acc:0.3289 | prec0:nan | prec1:nan | prec2:0.3289 | recall0:0.0000  | recall1:0.0000 | recall2:1.0000
Epoch:4 | loss:1.13 | acc:0.4089 | prec0:nan | prec1:0.4211 | prec2:0.3913 | recall0:0.0000  | recall1:0.7000 | recall2:0.4865
Epoch:5 | loss:1.11 | acc:0.4711 | prec0:nan | prec1:0.5698 | prec2:0.4101 | recall0:0.0000  | recall1:0.6125 | recall2:0.7703
Epoch:6 | loss:1.11 | acc:0.3378 | prec0:0.4286 | prec1:0.3333 | prec2:0.3317 | recall0:0.0845  | recall1:0.0250 | recall2:0.9189
Epoch:7 | loss:1.10 | acc:0.4222 | prec0:0.5714 | prec1:0.3986 | prec2:0.4384 | recall0:0.1127  | recall1:0.6875 | recall2:0.4324
Epoch:8 | loss:1.08 | acc:0.4444 | prec0:0.4085 | prec1:0.6562 | prec2:0.4098 | recall0:0.4085  | recall1:0.2625 | recall2:0.6757
Epoch:9 | loss:1.19 | acc:0.4311 | prec0:0.3611 | prec1:0.4767 | prec2:0.4175 | recall0:0.1831  | recall1:0.5125 | recall2:0.5811
Epoch:10 | loss:1.09 | acc:0.4444 | prec0:0.6000 | prec1:0.4194 | prec2:0.4833 | recall0:0.0845  | recall1:0.8125 | recall2:0.3919
Epoch:11 | loss:1.07 | acc:0.4444 | prec0:0.4706 | prec1:0.4519 | prec2:0.4247 | recall0:0.1127  | recall1:0.7625 | recall2:0.4189
Epoch:12 | loss:1.14 | acc:0.4311 | prec0:0.2000 | prec1:0.4430 | prec2:0.4225 | recall0:0.0141  | recall1:0.8250 | recall2:0.4054
Epoch:13 | loss:1.28 | acc:0.4044 | prec0:0.4694 | prec1:0.4933 | prec2:0.3069 | recall0:0.3239  | recall1:0.4625 | recall2:0.4189
Epoch:14 | loss:1.15 | acc:0.4133 | prec0:0.4719 | prec1:0.4545 | prec2:0.3680 | recall0:0.5915  | recall1:0.0625 | recall2:0.6216
Epoch:15 | loss:1.10 | acc:0.5244 | prec0:0.5797 | prec1:0.6182 | prec2:0.4356 | recall0:0.5634  | recall1:0.4250 | recall2:0.5946
Epoch:16 | loss:1.00 | acc:0.4711 | prec0:0.7368 | prec1:0.5294 | prec2:0.3884 | recall0:0.1972  | recall1:0.5625 | recall2:0.6351
Epoch:17 | loss:1.08 | acc:0.3467 | prec0:nan | prec1:0.3729 | prec2:0.2500 | recall0:0.0000  | recall1:0.8250 | recall2:0.1622
Epoch:18 | loss:1.07 | acc:0.4133 | prec0:0.5000 | prec1:0.4397 | prec2:0.3625 | recall0:0.0282  | recall1:0.7750 | recall2:0.3919
Epoch:19 | loss:1.08 | acc:0.4133 | prec0:0.6667 | prec1:0.4286 | prec2:0.3854 | recall0:0.0282  | recall1:0.6750 | recall2:0.5000
Epoch:20 | loss:1.03 | acc:0.4178 | prec0:0.3778 | prec1:0.4615 | prec2:0.3933 | recall0:0.2394  | recall1:0.5250 | recall2:0.4730
Epoch:21 | loss:1.15 | acc:0.4000 | prec0:0.3571 | prec1:0.6538 | prec2:0.3706 | recall0:0.2817  | recall1:0.2125 | recall2:0.7162
Epoch:22 | loss:1.10 | acc:0.3200 | prec0:0.3030 | prec1:0.0000 | prec2:0.3246 | recall0:0.1408  | recall1:0.0000 | recall2:0.8378
Epoch:23 | loss:1.13 | acc:0.3556 | prec0:0.4048 | prec1:0.5000 | prec2:0.3333 | recall0:0.2394  | recall1:0.0750 | recall2:0.7703
Epoch:24 | loss:1.17 | acc:0.4133 | prec0:0.4667 | prec1:0.4167 | prec2:0.3974 | recall0:0.0986  | recall1:0.6875 | recall2:0.4189
