Epoch:0 | loss:0.97 | acc:0.4578 | prec0:0.5051 | prec1:0.3704 | prec2:0.4583 | recall0:0.5747  | recall1:0.2857 | recall2:0.4853
Epoch:1 | loss:1.17 | acc:0.5333 | prec0:0.6351 | prec1:0.5085 | prec2:0.4674 | recall0:0.5402  | recall1:0.4286 | recall2:0.6324
Epoch:2 | loss:1.13 | acc:0.4889 | prec0:0.5294 | prec1:0.5217 | prec2:0.4400 | recall0:0.6207  | recall1:0.1714 | recall2:0.6471
Epoch:3 | loss:0.96 | acc:0.4844 | prec0:0.5443 | prec1:0.4792 | prec2:0.4388 | recall0:0.4943  | recall1:0.3286 | recall2:0.6324
Epoch:4 | loss:1.10 | acc:0.5289 | prec0:0.5904 | prec1:0.5161 | prec2:0.4750 | recall0:0.5632  | recall1:0.4571 | recall2:0.5588
Epoch:5 | loss:1.12 | acc:0.5244 | prec0:0.5128 | prec1:0.5854 | prec2:0.5075 | recall0:0.6897  | recall1:0.3429 | recall2:0.5000
Epoch:6 | loss:1.41 | acc:0.5022 | prec0:0.5604 | prec1:0.5250 | prec2:0.4362 | recall0:0.5862  | recall1:0.3000 | recall2:0.6029
Epoch:7 | loss:1.29 | acc:0.5022 | prec0:0.5529 | prec1:0.5094 | prec2:0.4483 | recall0:0.5402  | recall1:0.3857 | recall2:0.5735
Epoch:8 | loss:1.02 | acc:0.4844 | prec0:0.6296 | prec1:0.4789 | prec2:0.4100 | recall0:0.3908  | recall1:0.4857 | recall2:0.6029
Epoch:9 | loss:0.70 | acc:0.5467 | prec0:0.6562 | prec1:0.4948 | prec2:0.5156 | recall0:0.4828  | recall1:0.6857 | recall2:0.4853
Epoch:10 | loss:1.03 | acc:0.5022 | prec0:0.5974 | prec1:0.4464 | prec2:0.4722 | recall0:0.5287  | recall1:0.7143 | recall2:0.2500
Epoch:11 | loss:0.73 | acc:0.5422 | prec0:0.5263 | prec1:0.6122 | prec2:0.5161 | recall0:0.6897  | recall1:0.4286 | recall2:0.4706
Epoch:12 | loss:1.08 | acc:0.5156 | prec0:0.5862 | prec1:0.4940 | prec2:0.4364 | recall0:0.5862  | recall1:0.5857 | recall2:0.3529
Epoch:13 | loss:1.20 | acc:0.4889 | prec0:0.5392 | prec1:0.5278 | prec2:0.4138 | recall0:0.6322  | recall1:0.2714 | recall2:0.5294
Epoch:14 | loss:0.92 | acc:0.5422 | prec0:0.5120 | prec1:0.5909 | prec2:0.5714 | recall0:0.7356  | recall1:0.3714 | recall2:0.4706
Epoch:15 | loss:0.50 | acc:0.5600 | prec0:0.6234 | prec1:0.6271 | prec2:0.4607 | recall0:0.5517  | recall1:0.5286 | recall2:0.6029
Epoch:16 | loss:0.94 | acc:0.5733 | prec0:0.5727 | prec1:0.6140 | prec2:0.5345 | recall0:0.7241  | recall1:0.5000 | recall2:0.4559
Epoch:17 | loss:0.60 | acc:0.5822 | prec0:0.5870 | prec1:0.7347 | prec2:0.4881 | recall0:0.6207  | recall1:0.5143 | recall2:0.6029
Epoch:18 | loss:1.11 | acc:0.5689 | prec0:0.6044 | prec1:0.5735 | prec2:0.5152 | recall0:0.6322  | recall1:0.5571 | recall2:0.5000
Epoch:19 | loss:0.80 | acc:0.5556 | prec0:0.5577 | prec1:0.6400 | prec2:0.4930 | recall0:0.6667  | recall1:0.4571 | recall2:0.5147
Epoch:20 | loss:0.82 | acc:0.5378 | prec0:0.6026 | prec1:0.5375 | prec2:0.4627 | recall0:0.5402  | recall1:0.6143 | recall2:0.4559
Epoch:21 | loss:0.75 | acc:0.5644 | prec0:0.5784 | prec1:0.6379 | prec2:0.4769 | recall0:0.6782  | recall1:0.5286 | recall2:0.4559
