Epoch:0 | loss:0.86 | acc:0.4178 | prec0:0.4000 | prec1:0.3421 | prec2:0.4861 | recall0:0.5897  | recall1:0.1733 | recall2:0.4861
Epoch:1 | loss:1.01 | acc:0.4000 | prec0:0.4030 | prec1:0.3535 | prec2:0.4746 | recall0:0.3462  | recall1:0.4667 | recall2:0.3889
Epoch:2 | loss:1.27 | acc:0.4533 | prec0:0.4306 | prec1:0.4444 | prec2:0.5079 | recall0:0.7949  | recall1:0.1067 | recall2:0.4444
Epoch:3 | loss:0.96 | acc:0.4667 | prec0:0.5625 | prec1:0.4677 | prec2:0.4261 | recall0:0.3462  | recall1:0.3867 | recall2:0.6806
Epoch:4 | loss:0.91 | acc:0.4800 | prec0:0.4545 | prec1:0.4915 | prec2:0.5075 | recall0:0.5769  | recall1:0.3867 | recall2:0.4722
Epoch:5 | loss:1.26 | acc:0.5378 | prec0:0.5204 | prec1:0.5574 | prec2:0.5455 | recall0:0.6538  | recall1:0.4533 | recall2:0.5000
Epoch:6 | loss:0.95 | acc:0.5111 | prec0:0.6279 | prec1:0.4762 | prec2:0.4935 | recall0:0.3462  | recall1:0.6667 | recall2:0.5278
Epoch:7 | loss:0.95 | acc:0.5422 | prec0:0.5521 | prec1:0.5287 | prec2:0.5476 | recall0:0.6795  | recall1:0.6133 | recall2:0.3194
Epoch:8 | loss:1.03 | acc:0.5378 | prec0:0.5189 | prec1:0.5513 | prec2:0.5610 | recall0:0.7051  | recall1:0.5733 | recall2:0.3194
Epoch:9 | loss:1.03 | acc:0.5244 | prec0:0.6327 | prec1:0.5045 | prec2:0.4769 | recall0:0.3974  | recall1:0.7467 | recall2:0.4306
Epoch:10 | loss:0.83 | acc:0.5644 | prec0:0.5154 | prec1:0.6364 | prec2:0.6207 | recall0:0.8590  | recall1:0.5600 | recall2:0.2500
Epoch:11 | loss:0.93 | acc:0.5422 | prec0:0.6250 | prec1:0.5368 | prec2:0.4697 | recall0:0.5128  | recall1:0.6800 | recall2:0.4306
Epoch:12 | loss:0.94 | acc:0.5511 | prec0:0.6212 | prec1:0.5192 | prec2:0.5273 | recall0:0.5256  | recall1:0.7200 | recall2:0.4028
Epoch:13 | loss:1.06 | acc:0.5689 | prec0:0.5921 | prec1:0.5532 | prec2:0.5636 | recall0:0.5769  | recall1:0.6933 | recall2:0.4306
Epoch:14 | loss:1.10 | acc:0.6000 | prec0:0.5952 | prec1:0.5934 | prec2:0.6200 | recall0:0.6410  | recall1:0.7200 | recall2:0.4306
Epoch:15 | loss:0.75 | acc:0.5733 | prec0:0.5833 | prec1:0.6552 | prec2:0.4930 | recall0:0.7179  | recall1:0.5067 | recall2:0.4861
Epoch:16 | loss:1.07 | acc:0.5156 | prec0:0.6944 | prec1:0.4653 | prec2:0.5333 | recall0:0.3205  | recall1:0.8933 | recall2:0.3333
Epoch:17 | loss:0.96 | acc:0.5511 | prec0:0.5930 | prec1:0.5093 | prec2:0.5806 | recall0:0.6538  | recall1:0.7333 | recall2:0.2500
Epoch:18 | loss:0.80 | acc:0.5378 | prec0:0.5658 | prec1:0.5306 | prec2:0.5098 | recall0:0.5513  | recall1:0.6933 | recall2:0.3611
Epoch:19 | loss:0.99 | acc:0.5689 | prec0:0.6452 | prec1:0.6125 | prec2:0.4699 | recall0:0.5128  | recall1:0.6533 | recall2:0.5417
Epoch:20 | loss:0.89 | acc:0.5956 | prec0:0.5660 | prec1:0.6269 | prec2:0.6154 | recall0:0.7692  | recall1:0.5600 | recall2:0.4444
Epoch:21 | loss:1.41 | acc:0.5867 | prec0:0.6296 | prec1:0.5882 | prec2:0.5254 | recall0:0.6538  | recall1:0.6667 | recall2:0.4306
Epoch:22 | loss:1.03 | acc:0.5644 | prec0:0.6207 | prec1:0.5490 | prec2:0.5385 | recall0:0.4615  | recall1:0.7467 | recall2:0.4861
Epoch:23 | loss:0.89 | acc:0.5956 | prec0:0.5851 | prec1:0.6615 | prec2:0.5455 | recall0:0.7051  | recall1:0.5733 | recall2:0.5000
Epoch:24 | loss:0.75 | acc:0.5733 | prec0:0.5670 | prec1:0.6452 | prec2:0.5152 | recall0:0.7051  | recall1:0.5333 | recall2:0.4722
Epoch:25 | loss:1.48 | acc:0.5778 | prec0:0.6049 | prec1:0.6000 | prec2:0.5085 | recall0:0.6282  | recall1:0.6800 | recall2:0.4167
Epoch:26 | loss:0.85 | acc:0.6000 | prec0:0.6129 | prec1:0.6833 | prec2:0.5139 | recall0:0.7308  | recall1:0.5467 | recall2:0.5139
Epoch:27 | loss:0.99 | acc:0.5289 | prec0:0.6122 | prec1:0.5942 | prec2:0.4486 | recall0:0.3846  | recall1:0.5467 | recall2:0.6667
Epoch:28 | loss:1.09 | acc:0.6222 | prec0:0.6575 | prec1:0.6463 | prec2:0.5571 | recall0:0.6154  | recall1:0.7067 | recall2:0.5417
Epoch:29 | loss:0.70 | acc:0.5867 | prec0:0.6022 | prec1:0.5761 | prec2:0.5750 | recall0:0.7179  | recall1:0.7067 | recall2:0.3194
Epoch:30 | loss:1.05 | acc:0.5689 | prec0:0.6471 | prec1:0.6667 | prec2:0.4396 | recall0:0.5641  | recall1:0.5867 | recall2:0.5556
Epoch:31 | loss:0.78 | acc:0.5644 | prec0:0.5972 | prec1:0.6197 | prec2:0.4878 | recall0:0.5513  | recall1:0.5867 | recall2:0.5556
Epoch:32 | loss:1.00 | acc:0.5822 | prec0:0.6562 | prec1:0.5357 | prec2:0.5918 | recall0:0.5385  | recall1:0.8000 | recall2:0.4028
Epoch:33 | loss:0.97 | acc:0.5733 | prec0:0.6491 | prec1:0.5315 | prec2:0.5789 | recall0:0.4744  | recall1:0.7867 | recall2:0.4583
Epoch:34 | loss:0.99 | acc:0.5378 | prec0:0.6596 | prec1:0.5133 | prec2:0.4923 | recall0:0.3974  | recall1:0.7733 | recall2:0.4444
Epoch:35 | loss:0.72 | acc:0.5600 | prec0:0.6429 | prec1:0.5714 | prec2:0.4872 | recall0:0.4615  | recall1:0.6933 | recall2:0.5278
Epoch:36 | loss:0.88 | acc:0.5956 | prec0:0.6667 | prec1:0.6092 | prec2:0.5139 | recall0:0.5641  | recall1:0.7067 | recall2:0.5139
Epoch:37 | loss:0.87 | acc:0.5733 | prec0:0.6061 | prec1:0.6234 | prec2:0.5000 | recall0:0.5128  | recall1:0.6400 | recall2:0.5694
Epoch:38 | loss:0.90 | acc:0.5867 | prec0:0.6164 | prec1:0.6154 | prec2:0.5270 | recall0:0.5769  | recall1:0.6400 | recall2:0.5417
Epoch:39 | loss:0.82 | acc:0.6044 | prec0:0.5758 | prec1:0.6716 | prec2:0.5763 | recall0:0.7308  | recall1:0.6000 | recall2:0.4722
Epoch:40 | loss:0.67 | acc:0.5778 | prec0:0.5773 | prec1:0.5930 | prec2:0.5476 | recall0:0.7179  | recall1:0.6800 | recall2:0.3194
Epoch:41 | loss:1.05 | acc:0.5556 | prec0:0.7714 | prec1:0.5500 | prec2:0.4778 | recall0:0.3462  | recall1:0.7333 | recall2:0.5972
Epoch:42 | loss:0.53 | acc:0.5467 | prec0:0.6104 | prec1:0.5495 | prec2:0.4561 | recall0:0.6026  | recall1:0.6667 | recall2:0.3611
Epoch:43 | loss:0.88 | acc:0.6000 | prec0:0.6438 | prec1:0.6438 | prec2:0.5190 | recall0:0.6026  | recall1:0.6267 | recall2:0.5694
Epoch:44 | loss:1.09 | acc:0.6133 | prec0:0.6471 | prec1:0.7333 | prec2:0.5155 | recall0:0.5641  | recall1:0.5867 | recall2:0.6944
Epoch:45 | loss:1.27 | acc:0.6178 | prec0:0.5882 | prec1:0.6875 | prec2:0.5932 | recall0:0.7692  | recall1:0.5867 | recall2:0.4861
Epoch:46 | loss:0.59 | acc:0.6044 | prec0:0.6111 | prec1:0.5976 | prec2:0.6038 | recall0:0.7051  | recall1:0.6533 | recall2:0.4444
Epoch:47 | loss:0.80 | acc:0.5689 | prec0:0.6667 | prec1:0.6143 | prec2:0.4737 | recall0:0.5128  | recall1:0.5733 | recall2:0.6250
Epoch:48 | loss:0.82 | acc:0.6089 | prec0:0.6000 | prec1:0.6118 | prec2:0.6182 | recall0:0.6538  | recall1:0.6933 | recall2:0.4722
Epoch:49 | loss:0.82 | acc:0.6089 | prec0:0.5918 | prec1:0.6375 | prec2:0.5957 | recall0:0.7436  | recall1:0.6800 | recall2:0.3889
0.5754985754985755
Epoch:0 | loss:1.26 | acc:0.3956 | prec0:0.4267 | prec1:0.3256 | prec2:0.4019 | recall0:0.4103  | recall1:0.1867 | recall2:0.5972
Epoch:1 | loss:1.21 | acc:0.4489 | prec0:0.4615 | prec1:0.4286 | prec2:0.4471 | recall0:0.5385  | recall1:0.2800 | recall2:0.5278
Epoch:2 | loss:1.20 | acc:0.4533 | prec0:0.6341 | prec1:0.4262 | prec2:0.4065 | recall0:0.3333  | recall1:0.3467 | recall2:0.6944
Epoch:3 | loss:1.03 | acc:0.4933 | prec0:0.5676 | prec1:0.4390 | prec2:0.5538 | recall0:0.2692  | recall1:0.7200 | recall2:0.5000
Epoch:4 | loss:1.08 | acc:0.4933 | prec0:0.5441 | prec1:0.5179 | prec2:0.4455 | recall0:0.4744  | recall1:0.3867 | recall2:0.6250
Epoch:5 | loss:0.97 | acc:0.5022 | prec0:0.5426 | prec1:0.6207 | prec2:0.4314 | recall0:0.6538  | recall1:0.2400 | recall2:0.6111
Epoch:6 | loss:0.88 | acc:0.4889 | prec0:0.4902 | prec1:0.4578 | prec2:0.5500 | recall0:0.6410  | recall1:0.5067 | recall2:0.3056
Epoch:7 | loss:1.14 | acc:0.4800 | prec0:0.5455 | prec1:0.4778 | prec2:0.4505 | recall0:0.3077  | recall1:0.5733 | recall2:0.5694
Epoch:8 | loss:0.81 | acc:0.5556 | prec0:0.6133 | prec1:0.5833 | prec2:0.4889 | recall0:0.5897  | recall1:0.4667 | recall2:0.6111
Epoch:9 | loss:0.93 | acc:0.5511 | prec0:0.6000 | prec1:0.5048 | prec2:0.5750 | recall0:0.6154  | recall1:0.7067 | recall2:0.3194
Epoch:10 | loss:0.72 | acc:0.4933 | prec0:0.6923 | prec1:0.4700 | prec2:0.4302 | recall0:0.3462  | recall1:0.6267 | recall2:0.5139
Epoch:11 | loss:0.91 | acc:0.6044 | prec0:0.6047 | prec1:0.6429 | prec2:0.5652 | recall0:0.6667  | recall1:0.6000 | recall2:0.5417
Epoch:12 | loss:1.06 | acc:0.5600 | prec0:0.7941 | prec1:0.5253 | prec2:0.5109 | recall0:0.3462  | recall1:0.6933 | recall2:0.6528
Epoch:13 | loss:1.01 | acc:0.5600 | prec0:0.5393 | prec1:0.5890 | prec2:0.5556 | recall0:0.6154  | recall1:0.5733 | recall2:0.4861
Epoch:14 | loss:1.13 | acc:0.5556 | prec0:0.5833 | prec1:0.6119 | prec2:0.4884 | recall0:0.5385  | recall1:0.5467 | recall2:0.5833
Epoch:15 | loss:1.04 | acc:0.5644 | prec0:0.7321 | prec1:0.5300 | prec2:0.4783 | recall0:0.5256  | recall1:0.7067 | recall2:0.4583
Epoch:16 | loss:0.85 | acc:0.5778 | prec0:0.5976 | prec1:0.6338 | prec2:0.5000 | recall0:0.6282  | recall1:0.6000 | recall2:0.5000
Epoch:17 | loss:0.93 | acc:0.5333 | prec0:0.6226 | prec1:0.5393 | prec2:0.4699 | recall0:0.4231  | recall1:0.6400 | recall2:0.5417
Epoch:18 | loss:1.12 | acc:0.5644 | prec0:0.6282 | prec1:0.6889 | prec2:0.4608 | recall0:0.6282  | recall1:0.4133 | recall2:0.6528
Epoch:19 | loss:0.91 | acc:0.6000 | prec0:0.6375 | prec1:0.6825 | prec2:0.5000 | recall0:0.6538  | recall1:0.5733 | recall2:0.5694
Epoch:20 | loss:0.78 | acc:0.5333 | prec0:0.6296 | prec1:0.6000 | prec2:0.4434 | recall0:0.4359  | recall1:0.5200 | recall2:0.6528
Epoch:21 | loss:1.10 | acc:0.5689 | prec0:0.6400 | prec1:0.6087 | prec2:0.4691 | recall0:0.6154  | recall1:0.5600 | recall2:0.5278
Epoch:22 | loss:1.07 | acc:0.6089 | prec0:0.5957 | prec1:0.6579 | prec2:0.5636 | recall0:0.7179  | recall1:0.6667 | recall2:0.4306
Epoch:23 | loss:0.63 | acc:0.6000 | prec0:0.6282 | prec1:0.6538 | prec2:0.5072 | recall0:0.6282  | recall1:0.6800 | recall2:0.4861
Epoch:24 | loss:1.00 | acc:0.5378 | prec0:0.6061 | prec1:0.6842 | prec2:0.4118 | recall0:0.5128  | recall1:0.5200 | recall2:0.5833
Epoch:25 | loss:0.88 | acc:0.6000 | prec0:0.6486 | prec1:0.5889 | prec2:0.5574 | recall0:0.6154  | recall1:0.7067 | recall2:0.4722
Epoch:26 | loss:0.86 | acc:0.5822 | prec0:0.6104 | prec1:0.6875 | prec2:0.4762 | recall0:0.6026  | recall1:0.5867 | recall2:0.5556
Epoch:27 | loss:0.62 | acc:0.5556 | prec0:0.6346 | prec1:0.5795 | prec2:0.4824 | recall0:0.4231  | recall1:0.6800 | recall2:0.5694
Epoch:28 | loss:0.70 | acc:0.5867 | prec0:0.7400 | prec1:0.5607 | prec2:0.5147 | recall0:0.4744  | recall1:0.8000 | recall2:0.4861
Epoch:29 | loss:0.85 | acc:0.5911 | prec0:0.6620 | prec1:0.6833 | prec2:0.4787 | recall0:0.6026  | recall1:0.5467 | recall2:0.6250
Epoch:30 | loss:0.71 | acc:0.5644 | prec0:0.5862 | prec1:0.5543 | prec2:0.5435 | recall0:0.6538  | recall1:0.6800 | recall2:0.3472
Epoch:31 | loss:0.82 | acc:0.5911 | prec0:0.5895 | prec1:0.6400 | prec2:0.5273 | recall0:0.7179  | recall1:0.6400 | recall2:0.4028
Epoch:32 | loss:1.00 | acc:0.6178 | prec0:0.6333 | prec1:0.6719 | prec2:0.5493 | recall0:0.7308  | recall1:0.5733 | recall2:0.5417
Epoch:33 | loss:0.71 | acc:0.5867 | prec0:0.6528 | prec1:0.6143 | prec2:0.5060 | recall0:0.6026  | recall1:0.5733 | recall2:0.5833
Epoch:34 | loss:0.44 | acc:0.5956 | prec0:0.6410 | prec1:0.7292 | prec2:0.4949 | recall0:0.6410  | recall1:0.4667 | recall2:0.6806
Epoch:35 | loss:0.86 | acc:0.5822 | prec0:0.6949 | prec1:0.5579 | prec2:0.5211 | recall0:0.5256  | recall1:0.7067 | recall2:0.5139
Epoch:36 | loss:1.34 | acc:0.6178 | prec0:0.6912 | prec1:0.6714 | prec2:0.5172 | recall0:0.6026  | recall1:0.6267 | recall2:0.6250
Epoch:37 | loss:0.79 | acc:0.5956 | prec0:0.6164 | prec1:0.5795 | prec2:0.5938 | recall0:0.5769  | recall1:0.6800 | recall2:0.5278
Epoch:38 | loss:0.76 | acc:0.6133 | prec0:0.6410 | prec1:0.6825 | prec2:0.5357 | recall0:0.6410  | recall1:0.5733 | recall2:0.6250
Epoch:39 | loss:0.83 | acc:0.5956 | prec0:0.6118 | prec1:0.6567 | prec2:0.5205 | recall0:0.6667  | recall1:0.5867 | recall2:0.5278
Epoch:40 | loss:0.63 | acc:0.5822 | prec0:0.6429 | prec1:0.5652 | prec2:0.5397 | recall0:0.5769  | recall1:0.6933 | recall2:0.4722
Epoch:41 | loss:0.55 | acc:0.5733 | prec0:0.6533 | prec1:0.5802 | prec2:0.4783 | recall0:0.6282  | recall1:0.6267 | recall2:0.4583
Epoch:42 | loss:0.69 | acc:0.6089 | prec0:0.6375 | prec1:0.6765 | prec2:0.5195 | recall0:0.6538  | recall1:0.6133 | recall2:0.5556
Epoch:43 | loss:0.94 | acc:0.5733 | prec0:0.6528 | prec1:0.6735 | prec2:0.4712 | recall0:0.6026  | recall1:0.4400 | recall2:0.6806
Epoch:44 | loss:0.77 | acc:0.6000 | prec0:0.6316 | prec1:0.6825 | prec2:0.5116 | recall0:0.6154  | recall1:0.5733 | recall2:0.6111
Epoch:45 | loss:0.84 | acc:0.6089 | prec0:0.6163 | prec1:0.7333 | prec2:0.5063 | recall0:0.6795  | recall1:0.5867 | recall2:0.5556
Epoch:46 | loss:1.21 | acc:0.6133 | prec0:0.5816 | prec1:0.6667 | prec2:0.6000 | recall0:0.7308  | recall1:0.6400 | recall2:0.4583
Epoch:47 | loss:0.79 | acc:0.6222 | prec0:0.7031 | prec1:0.6538 | prec2:0.5301 | recall0:0.5769  | recall1:0.6800 | recall2:0.6111
