Epoch:0 | loss:0.99 | acc:0.4622 | prec0:0.4679 | prec1:0.4872 | prec2:0.4416 | recall0:0.6623  | recall1:0.2346 | recall2:0.5075
Epoch:1 | loss:1.10 | acc:0.4267 | prec0:0.4918 | prec1:0.3810 | prec2:0.4250 | recall0:0.3896  | recall1:0.3951 | recall2:0.5075
Epoch:2 | loss:1.07 | acc:0.4400 | prec0:0.4688 | prec1:0.4167 | prec2:0.4194 | recall0:0.5844  | recall1:0.1852 | recall2:0.5821
Epoch:3 | loss:1.05 | acc:0.4578 | prec0:0.4706 | prec1:0.4259 | prec2:0.4638 | recall0:0.6234  | recall1:0.2840 | recall2:0.4776
Epoch:4 | loss:1.16 | acc:0.4533 | prec0:0.4679 | prec1:0.4000 | prec2:0.4648 | recall0:0.6623  | recall1:0.2222 | recall2:0.4925
Epoch:5 | loss:0.91 | acc:0.4178 | prec0:0.4648 | prec1:0.3774 | prec2:0.4059 | recall0:0.4286  | recall1:0.2469 | recall2:0.6119
Epoch:6 | loss:0.95 | acc:0.4533 | prec0:0.4486 | prec1:0.4412 | prec2:0.4643 | recall0:0.6234  | recall1:0.1852 | recall2:0.5821
Epoch:7 | loss:1.13 | acc:0.4222 | prec0:0.4444 | prec1:0.3721 | prec2:0.4605 | recall0:0.3636  | recall1:0.3951 | recall2:0.5224
Epoch:8 | loss:1.08 | acc:0.4178 | prec0:0.4444 | prec1:0.3333 | prec2:0.4533 | recall0:0.5195  | recall1:0.2469 | recall2:0.5075
Epoch:9 | loss:1.12 | acc:0.4178 | prec0:0.4500 | prec1:0.3500 | prec2:0.4588 | recall0:0.3506  | recall1:0.3457 | recall2:0.5821
Epoch:10 | loss:1.02 | acc:0.4400 | prec0:0.4878 | prec1:0.4130 | prec2:0.4124 | recall0:0.5195  | recall1:0.2346 | recall2:0.5970
Epoch:11 | loss:1.00 | acc:0.4356 | prec0:0.4643 | prec1:0.3607 | prec2:0.4625 | recall0:0.5065  | recall1:0.2716 | recall2:0.5522
Epoch:12 | loss:0.93 | acc:0.4133 | prec0:0.4545 | prec1:0.3542 | prec2:0.4100 | recall0:0.4545  | recall1:0.2099 | recall2:0.6119
Epoch:13 | loss:1.01 | acc:0.4578 | prec0:0.4673 | prec1:0.4634 | prec2:0.4416 | recall0:0.6494  | recall1:0.2346 | recall2:0.5075
Epoch:14 | loss:1.21 | acc:0.4444 | prec0:0.4935 | prec1:0.3788 | prec2:0.4512 | recall0:0.4935  | recall1:0.3086 | recall2:0.5522
Epoch:15 | loss:1.08 | acc:0.4267 | prec0:0.4636 | prec1:0.3636 | prec2:0.4024 | recall0:0.6623  | recall1:0.1481 | recall2:0.4925
Epoch:16 | loss:1.11 | acc:0.4489 | prec0:0.4944 | prec1:0.4231 | prec2:0.4182 | recall0:0.5714  | recall1:0.1358 | recall2:0.6866
Epoch:17 | loss:0.93 | acc:0.4844 | prec0:0.5256 | prec1:0.4737 | prec2:0.4556 | recall0:0.5325  | recall1:0.3333 | recall2:0.6119
Epoch:18 | loss:1.07 | acc:0.4533 | prec0:0.4828 | prec1:0.3846 | prec2:0.4795 | recall0:0.5455  | recall1:0.3086 | recall2:0.5224
