Epoch:0 | loss:1.18 | acc:0.4533 | prec0:0.4615 | prec1:0.4074 | prec2:0.5325 | recall0:0.0833  | recall1:0.6875 | recall2:0.5616
Epoch:1 | loss:1.29 | acc:0.4578 | prec0:0.4490 | prec1:0.4839 | prec2:0.4583 | recall0:0.6111  | recall1:0.1875 | recall2:0.6027
Epoch:2 | loss:1.03 | acc:0.4844 | prec0:0.4607 | prec1:0.4902 | prec2:0.5059 | recall0:0.5694  | recall1:0.3125 | recall2:0.5890
Epoch:3 | loss:1.20 | acc:0.4978 | prec0:0.6786 | prec1:0.4694 | prec2:0.4747 | recall0:0.2639  | recall1:0.5750 | recall2:0.6438
Epoch:4 | loss:1.07 | acc:0.5022 | prec0:0.4615 | prec1:0.5652 | prec2:0.5200 | recall0:0.6667  | recall1:0.3250 | recall2:0.5342
Epoch:5 | loss:0.96 | acc:0.4978 | prec0:0.5366 | prec1:0.5208 | prec2:0.4526 | recall0:0.6111  | recall1:0.3125 | recall2:0.5890
Epoch:6 | loss:0.95 | acc:0.4889 | prec0:0.5538 | prec1:0.4915 | prec2:0.4455 | recall0:0.5000  | recall1:0.3625 | recall2:0.6164
Epoch:7 | loss:0.92 | acc:0.5867 | prec0:0.6452 | prec1:0.6515 | prec2:0.5052 | recall0:0.5556  | recall1:0.5375 | recall2:0.6712
Epoch:8 | loss:0.90 | acc:0.5200 | prec0:0.5281 | prec1:0.6000 | prec2:0.4792 | recall0:0.6528  | recall1:0.3000 | recall2:0.6301
Epoch:9 | loss:0.90 | acc:0.5333 | prec0:0.4640 | prec1:0.7857 | prec2:0.5556 | recall0:0.8056  | recall1:0.2750 | recall2:0.5479
Epoch:10 | loss:1.10 | acc:0.5511 | prec0:0.4797 | prec1:0.7222 | prec2:0.5909 | recall0:0.8194  | recall1:0.3250 | recall2:0.5342
Epoch:11 | loss:1.09 | acc:0.5378 | prec0:0.4836 | prec1:0.7500 | prec2:0.5467 | recall0:0.8194  | recall1:0.2625 | recall2:0.5616
Epoch:12 | loss:1.28 | acc:0.5600 | prec0:0.5641 | prec1:0.6056 | prec2:0.5132 | recall0:0.6111  | recall1:0.5375 | recall2:0.5342
Epoch:13 | loss:0.98 | acc:0.5378 | prec0:0.5114 | prec1:0.7105 | prec2:0.4949 | recall0:0.6250  | recall1:0.3375 | recall2:0.6712
Epoch:14 | loss:0.83 | acc:0.6000 | prec0:0.5437 | prec1:0.6308 | prec2:0.6667 | recall0:0.7778  | recall1:0.5125 | recall2:0.5205
Epoch:15 | loss:0.96 | acc:0.5556 | prec0:0.4952 | prec1:0.6939 | prec2:0.5493 | recall0:0.7222  | recall1:0.4250 | recall2:0.5342
Epoch:16 | loss:1.07 | acc:0.5956 | prec0:0.6885 | prec1:0.5556 | prec2:0.5745 | recall0:0.5833  | recall1:0.8125 | recall2:0.3699
Epoch:17 | loss:0.67 | acc:0.6178 | prec0:0.8000 | prec1:0.5743 | prec2:0.5541 | recall0:0.5556  | recall1:0.7250 | recall2:0.5616
Epoch:18 | loss:1.14 | acc:0.6178 | prec0:0.6667 | prec1:0.6949 | prec2:0.5400 | recall0:0.6111  | recall1:0.5125 | recall2:0.7397
