Epoch:0 | loss:1.03 | acc:0.4222 | prec0:0.4000 | prec1:0.4615 | prec2:0.4100 | recall0:0.2892  | recall1:0.3704 | recall2:0.6721
Epoch:1 | loss:1.07 | acc:0.4000 | prec0:0.4062 | prec1:0.4222 | prec2:0.3879 | recall0:0.3133  | recall1:0.2346 | recall2:0.7377
Epoch:2 | loss:1.02 | acc:0.4489 | prec0:0.4103 | prec1:0.4706 | prec2:0.5088 | recall0:0.5783  | recall1:0.2963 | recall2:0.4754
Epoch:3 | loss:0.97 | acc:0.4133 | prec0:0.4250 | prec1:0.5185 | prec2:0.3814 | recall0:0.4096  | recall1:0.1728 | recall2:0.7377
Epoch:4 | loss:1.04 | acc:0.4622 | prec0:0.4302 | prec1:0.4627 | prec2:0.5000 | recall0:0.4458  | recall1:0.3827 | recall2:0.5902
Epoch:5 | loss:1.06 | acc:0.4489 | prec0:0.5000 | prec1:0.4697 | prec2:0.4059 | recall0:0.3494  | recall1:0.3827 | recall2:0.6721
Epoch:6 | loss:0.87 | acc:0.4844 | prec0:0.5938 | prec1:0.4545 | prec2:0.4861 | recall0:0.2289  | recall1:0.6790 | recall2:0.5738
Epoch:7 | loss:0.96 | acc:0.4622 | prec0:0.4526 | prec1:0.4828 | prec2:0.4583 | recall0:0.5181  | recall1:0.3457 | recall2:0.5410
Epoch:8 | loss:1.05 | acc:0.4578 | prec0:0.5455 | prec1:0.4634 | prec2:0.4396 | recall0:0.0723  | recall1:0.7037 | recall2:0.6557
Epoch:9 | loss:1.11 | acc:0.4889 | prec0:0.5373 | prec1:0.6531 | prec2:0.3853 | recall0:0.4337  | recall1:0.3951 | recall2:0.6885
Epoch:10 | loss:0.80 | acc:0.5422 | prec0:0.5306 | prec1:0.6600 | prec2:0.4805 | recall0:0.6265  | recall1:0.4074 | recall2:0.6066
Epoch:11 | loss:0.83 | acc:0.5644 | prec0:0.6164 | prec1:0.5632 | prec2:0.5077 | recall0:0.5422  | recall1:0.6049 | recall2:0.5410
Epoch:12 | loss:0.84 | acc:0.5156 | prec0:0.5287 | prec1:0.5692 | prec2:0.4521 | recall0:0.5542  | recall1:0.4568 | recall2:0.5410
Epoch:13 | loss:0.82 | acc:0.4933 | prec0:0.4789 | prec1:0.5000 | prec2:0.5000 | recall0:0.4096  | recall1:0.6420 | recall2:0.4098
Epoch:14 | loss:1.30 | acc:0.5333 | prec0:0.5758 | prec1:0.6000 | prec2:0.4494 | recall0:0.4578  | recall1:0.5185 | recall2:0.6557
Epoch:15 | loss:1.41 | acc:0.5600 | prec0:0.6190 | prec1:0.5684 | prec2:0.4925 | recall0:0.4699  | recall1:0.6667 | recall2:0.5410
Epoch:16 | loss:0.93 | acc:0.4844 | prec0:0.6800 | prec1:0.4954 | prec2:0.4176 | recall0:0.2048  | recall1:0.6667 | recall2:0.6230
Epoch:17 | loss:0.78 | acc:0.5467 | prec0:0.5122 | prec1:0.6481 | prec2:0.5208 | recall0:0.7590  | recall1:0.4321 | recall2:0.4098
Epoch:18 | loss:0.72 | acc:0.5378 | prec0:0.6571 | prec1:0.5079 | prec2:0.5312 | recall0:0.2771  | recall1:0.7901 | recall2:0.5574
Epoch:19 | loss:0.90 | acc:0.5289 | prec0:0.5938 | prec1:0.5102 | prec2:0.4921 | recall0:0.4578  | recall1:0.6173 | recall2:0.5082
Epoch:20 | loss:1.04 | acc:0.5378 | prec0:0.6136 | prec1:0.5556 | prec2:0.4756 | recall0:0.3253  | recall1:0.6790 | recall2:0.6393
Epoch:21 | loss:0.81 | acc:0.5644 | prec0:0.6029 | prec1:0.6538 | prec2:0.4430 | recall0:0.4940  | recall1:0.6296 | recall2:0.5738
Epoch:22 | loss:1.19 | acc:0.5733 | prec0:0.5909 | prec1:0.6265 | prec2:0.5000 | recall0:0.4699  | recall1:0.6420 | recall2:0.6230
Epoch:23 | loss:1.12 | acc:0.5733 | prec0:0.5732 | prec1:0.6438 | prec2:0.5000 | recall0:0.5663  | recall1:0.5802 | recall2:0.5738
Epoch:24 | loss:1.06 | acc:0.6000 | prec0:0.6049 | prec1:0.6892 | prec2:0.5000 | recall0:0.5904  | recall1:0.6296 | recall2:0.5738
Epoch:25 | loss:0.91 | acc:0.5778 | prec0:0.5361 | prec1:0.6909 | prec2:0.5479 | recall0:0.6265  | recall1:0.4691 | recall2:0.6557
Epoch:26 | loss:0.86 | acc:0.5600 | prec0:0.5556 | prec1:0.6364 | prec2:0.5000 | recall0:0.5422  | recall1:0.5185 | recall2:0.6393
Epoch:27 | loss:0.77 | acc:0.5600 | prec0:0.5811 | prec1:0.6269 | prec2:0.4881 | recall0:0.5181  | recall1:0.5185 | recall2:0.6721
Epoch:28 | loss:1.02 | acc:0.4756 | prec0:0.4444 | prec1:0.6486 | prec2:0.4355 | recall0:0.6747  | recall1:0.2963 | recall2:0.4426
Epoch:29 | loss:1.40 | acc:0.5067 | prec0:0.4538 | prec1:0.6170 | prec2:0.5417 | recall0:0.7108  | recall1:0.3580 | recall2:0.4262
Epoch:30 | loss:1.01 | acc:0.5333 | prec0:0.5054 | prec1:0.5625 | prec2:0.5385 | recall0:0.5663  | recall1:0.5556 | recall2:0.4590
Epoch:31 | loss:0.97 | acc:0.5467 | prec0:0.5968 | prec1:0.5714 | prec2:0.4615 | recall0:0.4458  | recall1:0.6914 | recall2:0.4918
Epoch:32 | loss:1.31 | acc:0.5644 | prec0:0.5556 | prec1:0.5743 | prec2:0.5577 | recall0:0.4819  | recall1:0.7160 | recall2:0.4754
Epoch:33 | loss:0.95 | acc:0.5244 | prec0:0.5370 | prec1:0.5164 | prec2:0.5306 | recall0:0.3494  | recall1:0.7778 | recall2:0.4262
Epoch:34 | loss:0.88 | acc:0.5333 | prec0:0.5043 | prec1:0.6531 | prec2:0.4918 | recall0:0.6988  | recall1:0.3951 | recall2:0.4918
Epoch:35 | loss:1.10 | acc:0.5778 | prec0:0.6104 | prec1:0.5934 | prec2:0.5088 | recall0:0.5663  | recall1:0.6667 | recall2:0.4754
Epoch:36 | loss:0.83 | acc:0.5422 | prec0:0.5818 | prec1:0.5876 | prec2:0.4521 | recall0:0.3855  | recall1:0.7037 | recall2:0.5410
Epoch:37 | loss:0.96 | acc:0.5822 | prec0:0.6301 | prec1:0.6154 | prec2:0.4754 | recall0:0.5542  | recall1:0.6914 | recall2:0.4754
Epoch:38 | loss:1.00 | acc:0.5911 | prec0:0.5591 | prec1:0.7027 | prec2:0.5000 | recall0:0.6265  | recall1:0.6420 | recall2:0.4754
Epoch:39 | loss:1.04 | acc:0.5556 | prec0:0.6230 | prec1:0.5596 | prec2:0.4727 | recall0:0.4578  | recall1:0.7531 | recall2:0.4262
Epoch:40 | loss:0.90 | acc:0.5556 | prec0:0.5938 | prec1:0.5769 | prec2:0.4737 | recall0:0.4578  | recall1:0.7407 | recall2:0.4426
Epoch:41 | loss:0.75 | acc:0.5733 | prec0:0.6000 | prec1:0.5900 | prec2:0.5091 | recall0:0.5060  | recall1:0.7284 | recall2:0.4590
Epoch:42 | loss:0.62 | acc:0.5689 | prec0:0.6515 | prec1:0.5566 | prec2:0.4906 | recall0:0.5181  | recall1:0.7284 | recall2:0.4262
Epoch:43 | loss:0.76 | acc:0.5556 | prec0:0.5192 | prec1:0.6721 | prec2:0.5000 | recall0:0.6506  | recall1:0.5062 | recall2:0.4918
Epoch:44 | loss:0.95 | acc:0.5644 | prec0:0.5130 | prec1:0.7308 | prec2:0.5172 | recall0:0.7108  | recall1:0.4691 | recall2:0.4918
Epoch:45 | loss:1.07 | acc:0.5556 | prec0:0.5306 | prec1:0.6184 | prec2:0.5098 | recall0:0.6265  | recall1:0.5802 | recall2:0.4262
