Epoch:0 | loss:1.12 | acc:0.4000 | prec0:0.3333 | prec1:0.3133 | prec2:0.4951 | recall0:0.1566  | recall1:0.4407 | recall2:0.6145
Epoch:1 | loss:0.95 | acc:0.4889 | prec0:0.4752 | prec1:0.3750 | prec2:0.5086 | recall0:0.5783  | recall1:0.0508 | recall2:0.7108
Epoch:2 | loss:1.14 | acc:0.4667 | prec0:0.4231 | prec1:0.5714 | prec2:0.5227 | recall0:0.6627  | recall1:0.0678 | recall2:0.5542
Epoch:3 | loss:0.81 | acc:0.4844 | prec0:0.4943 | prec1:0.3636 | prec2:0.5319 | recall0:0.5181  | recall1:0.2712 | recall2:0.6024
Epoch:4 | loss:1.03 | acc:0.4978 | prec0:0.5962 | prec1:0.4314 | prec2:0.4836 | recall0:0.3735  | recall1:0.3729 | recall2:0.7108
Epoch:5 | loss:1.03 | acc:0.5111 | prec0:0.5000 | prec1:0.5128 | prec2:0.5222 | recall0:0.5783  | recall1:0.3390 | recall2:0.5663
Epoch:6 | loss:1.09 | acc:0.5067 | prec0:0.5349 | prec1:0.4348 | prec2:0.5161 | recall0:0.5542  | recall1:0.3390 | recall2:0.5783
Epoch:7 | loss:1.05 | acc:0.4933 | prec0:0.5000 | prec1:0.4444 | prec2:0.5287 | recall0:0.3976  | recall1:0.5424 | recall2:0.5542
Epoch:8 | loss:1.21 | acc:0.5733 | prec0:0.6232 | prec1:0.5395 | prec2:0.5625 | recall0:0.5181  | recall1:0.6949 | recall2:0.5422
Epoch:9 | loss:0.95 | acc:0.5067 | prec0:0.4833 | prec1:0.7059 | prec2:0.5000 | recall0:0.6988  | recall1:0.2034 | recall2:0.5301
Epoch:10 | loss:0.94 | acc:0.5022 | prec0:0.5181 | prec1:0.4516 | prec2:0.5250 | recall0:0.5181  | recall1:0.4746 | recall2:0.5060
Epoch:11 | loss:1.20 | acc:0.5200 | prec0:0.5529 | prec1:0.4545 | prec2:0.5556 | recall0:0.5663  | recall1:0.5932 | recall2:0.4217
Epoch:12 | loss:1.13 | acc:0.6089 | prec0:0.6438 | prec1:0.6727 | prec2:0.5464 | recall0:0.5663  | recall1:0.6271 | recall2:0.6386
Epoch:13 | loss:1.01 | acc:0.5511 | prec0:0.6133 | prec1:0.5063 | prec2:0.5352 | recall0:0.5542  | recall1:0.6780 | recall2:0.4578
Epoch:14 | loss:1.11 | acc:0.5600 | prec0:0.5556 | prec1:0.5672 | prec2:0.5588 | recall0:0.6024  | recall1:0.6441 | recall2:0.4578
Epoch:15 | loss:1.06 | acc:0.5600 | prec0:0.5897 | prec1:0.5714 | prec2:0.5238 | recall0:0.5542  | recall1:0.6102 | recall2:0.5301
Epoch:16 | loss:1.04 | acc:0.5822 | prec0:0.6711 | prec1:0.4944 | prec2:0.6000 | recall0:0.6145  | recall1:0.7458 | recall2:0.4337
Epoch:17 | loss:0.80 | acc:0.5511 | prec0:0.6212 | prec1:0.5063 | prec2:0.5375 | recall0:0.4940  | recall1:0.6780 | recall2:0.5181
Epoch:18 | loss:1.03 | acc:0.5733 | prec0:0.6000 | prec1:0.5556 | prec2:0.5556 | recall0:0.6506  | recall1:0.6780 | recall2:0.4217
Epoch:19 | loss:0.75 | acc:0.5289 | prec0:0.5778 | prec1:0.4835 | prec2:0.5506 | recall0:0.3133  | recall1:0.7458 | recall2:0.5904
Epoch:20 | loss:1.10 | acc:0.5644 | prec0:0.5972 | prec1:0.5309 | prec2:0.5694 | recall0:0.5181  | recall1:0.7288 | recall2:0.4940
Epoch:21 | loss:0.87 | acc:0.5644 | prec0:0.5699 | prec1:0.4933 | prec2:0.6491 | recall0:0.6386  | recall1:0.6271 | recall2:0.4458
Epoch:22 | loss:1.03 | acc:0.5778 | prec0:0.6667 | prec1:0.5385 | prec2:0.5517 | recall0:0.4819  | recall1:0.7119 | recall2:0.5783
Epoch:23 | loss:0.87 | acc:0.5600 | prec0:0.6232 | prec1:0.4891 | prec2:0.5938 | recall0:0.5181  | recall1:0.7627 | recall2:0.4578
Epoch:24 | loss:0.81 | acc:0.5600 | prec0:0.6140 | prec1:0.4944 | prec2:0.5949 | recall0:0.4217  | recall1:0.7458 | recall2:0.5663
Epoch:25 | loss:0.72 | acc:0.5244 | prec0:0.6316 | prec1:0.4412 | prec2:0.5765 | recall0:0.2892  | recall1:0.7627 | recall2:0.5904
Epoch:26 | loss:1.05 | acc:0.5556 | prec0:0.5400 | prec1:0.5606 | prec2:0.5763 | recall0:0.6506  | recall1:0.6271 | recall2:0.4096
Epoch:27 | loss:1.05 | acc:0.5733 | prec0:0.6338 | prec1:0.5395 | prec2:0.5513 | recall0:0.5422  | recall1:0.6949 | recall2:0.5181
Epoch:28 | loss:1.03 | acc:0.6000 | prec0:0.6265 | prec1:0.6000 | prec2:0.5694 | recall0:0.6265  | recall1:0.7119 | recall2:0.4940
Epoch:29 | loss:0.85 | acc:0.5911 | prec0:0.6071 | prec1:0.6066 | prec2:0.5625 | recall0:0.6145  | recall1:0.6271 | recall2:0.5422
Epoch:30 | loss:0.76 | acc:0.5689 | prec0:0.5612 | prec1:0.5893 | prec2:0.5634 | recall0:0.6627  | recall1:0.5593 | recall2:0.4819
Epoch:31 | loss:0.85 | acc:0.6089 | prec0:0.6341 | prec1:0.6032 | prec2:0.5875 | recall0:0.6265  | recall1:0.6441 | recall2:0.5663
Epoch:32 | loss:1.22 | acc:0.5867 | prec0:0.6232 | prec1:0.6129 | prec2:0.5426 | recall0:0.5181  | recall1:0.6441 | recall2:0.6145
Epoch:33 | loss:0.87 | acc:0.5644 | prec0:0.6184 | prec1:0.5333 | prec2:0.5405 | recall0:0.5663  | recall1:0.6780 | recall2:0.4819
Epoch:34 | loss:1.11 | acc:0.5689 | prec0:0.6232 | prec1:0.5938 | prec2:0.5109 | recall0:0.5181  | recall1:0.6441 | recall2:0.5663
Epoch:35 | loss:0.98 | acc:0.6222 | prec0:0.6196 | prec1:0.6667 | prec2:0.5890 | recall0:0.6867  | recall1:0.6780 | recall2:0.5181
Epoch:36 | loss:0.96 | acc:0.6133 | prec0:0.6082 | prec1:0.6491 | prec2:0.5915 | recall0:0.7108  | recall1:0.6271 | recall2:0.5060
Epoch:37 | loss:1.17 | acc:0.6133 | prec0:0.6310 | prec1:0.6102 | prec2:0.5976 | recall0:0.6386  | recall1:0.6102 | recall2:0.5904
