Epoch:0 | loss:1.14 | acc:0.4444 | prec0:0.4326 | prec1:0.7500 | prec2:0.4167 | recall0:0.7349  | recall1:0.1324 | recall2:0.4054
Epoch:1 | loss:1.14 | acc:0.4622 | prec0:0.5000 | prec1:0.4024 | prec2:0.4918 | recall0:0.4940  | recall1:0.4853 | recall2:0.4054
Epoch:2 | loss:1.13 | acc:0.4978 | prec0:0.5932 | prec1:0.4364 | prec2:0.5179 | recall0:0.4217  | recall1:0.7059 | recall2:0.3919
Epoch:3 | loss:0.98 | acc:0.5200 | prec0:0.4773 | prec1:0.7667 | prec2:0.4921 | recall0:0.7590  | recall1:0.3382 | recall2:0.4189
Epoch:4 | loss:0.87 | acc:0.5156 | prec0:0.4912 | prec1:0.6250 | prec2:0.4762 | recall0:0.6747  | recall1:0.4412 | recall2:0.4054
Epoch:5 | loss:1.02 | acc:0.5378 | prec0:0.5208 | prec1:0.5325 | prec2:0.5769 | recall0:0.6024  | recall1:0.6029 | recall2:0.4054
Epoch:6 | loss:1.18 | acc:0.5244 | prec0:0.6909 | prec1:0.4569 | prec2:0.5000 | recall0:0.4578  | recall1:0.7794 | recall2:0.3649
Epoch:7 | loss:0.90 | acc:0.5022 | prec0:0.4815 | prec1:0.5370 | prec2:0.5079 | recall0:0.6265  | recall1:0.4265 | recall2:0.4324
Epoch:8 | loss:0.80 | acc:0.5244 | prec0:0.5647 | prec1:0.5395 | prec2:0.4531 | recall0:0.5783  | recall1:0.6029 | recall2:0.3919
Epoch:9 | loss:1.27 | acc:0.4711 | prec0:0.5745 | prec1:0.4175 | prec2:0.4800 | recall0:0.3253  | recall1:0.6324 | recall2:0.4865
Epoch:10 | loss:0.99 | acc:0.5644 | prec0:0.5930 | prec1:0.5506 | prec2:0.5400 | recall0:0.6145  | recall1:0.7206 | recall2:0.3649
Epoch:11 | loss:1.05 | acc:0.5333 | prec0:0.6029 | prec1:0.5060 | prec2:0.5000 | recall0:0.4940  | recall1:0.6176 | recall2:0.5000
Epoch:12 | loss:0.74 | acc:0.5467 | prec0:0.5234 | prec1:0.6500 | prec2:0.4828 | recall0:0.6747  | recall1:0.5735 | recall2:0.3784
Epoch:13 | loss:0.91 | acc:0.5333 | prec0:0.5096 | prec1:0.6071 | prec2:0.5077 | recall0:0.6386  | recall1:0.5000 | recall2:0.4459
Epoch:14 | loss:0.76 | acc:0.5156 | prec0:0.6596 | prec1:0.4688 | prec2:0.4878 | recall0:0.3735  | recall1:0.6618 | recall2:0.5405
Epoch:15 | loss:0.98 | acc:0.5511 | prec0:0.5638 | prec1:0.6167 | prec2:0.4789 | recall0:0.6386  | recall1:0.5441 | recall2:0.4595
Epoch:16 | loss:0.74 | acc:0.5333 | prec0:0.5043 | prec1:0.6327 | prec2:0.5082 | recall0:0.6988  | recall1:0.4559 | recall2:0.4189
Epoch:17 | loss:0.86 | acc:0.5467 | prec0:0.5682 | prec1:0.6119 | prec2:0.4571 | recall0:0.6024  | recall1:0.6029 | recall2:0.4324
Epoch:18 | loss:0.94 | acc:0.5200 | prec0:0.6207 | prec1:0.4717 | prec2:0.5082 | recall0:0.4337  | recall1:0.7353 | recall2:0.4189
Epoch:19 | loss:1.00 | acc:0.5378 | prec0:0.5942 | prec1:0.5149 | prec2:0.5091 | recall0:0.4940  | recall1:0.7647 | recall2:0.3784
Epoch:20 | loss:1.18 | acc:0.5200 | prec0:0.5781 | prec1:0.5244 | prec2:0.4684 | recall0:0.4458  | recall1:0.6324 | recall2:0.5000
Epoch:21 | loss:1.00 | acc:0.5378 | prec0:0.5283 | prec1:0.6207 | prec2:0.4754 | recall0:0.6747  | recall1:0.5294 | recall2:0.3919
Epoch:22 | loss:1.00 | acc:0.5600 | prec0:0.5638 | prec1:0.6727 | prec2:0.4737 | recall0:0.6386  | recall1:0.5441 | recall2:0.4865
Epoch:23 | loss:1.13 | acc:0.5422 | prec0:0.5319 | prec1:0.5890 | prec2:0.5000 | recall0:0.6024  | recall1:0.6324 | recall2:0.3919
Epoch:24 | loss:1.09 | acc:0.5244 | prec0:0.5283 | prec1:0.7027 | prec2:0.4390 | recall0:0.6747  | recall1:0.3824 | recall2:0.4865
Epoch:25 | loss:0.99 | acc:0.5511 | prec0:0.5229 | prec1:0.6735 | prec2:0.5075 | recall0:0.6867  | recall1:0.4853 | recall2:0.4595
Epoch:26 | loss:1.11 | acc:0.5600 | prec0:0.6184 | prec1:0.5833 | prec2:0.4805 | recall0:0.5663  | recall1:0.6176 | recall2:0.5000
Epoch:27 | loss:1.20 | acc:0.5289 | prec0:0.5169 | prec1:0.5652 | prec2:0.5075 | recall0:0.5542  | recall1:0.5735 | recall2:0.4595
Epoch:28 | loss:1.00 | acc:0.5689 | prec0:0.5806 | prec1:0.6000 | prec2:0.5088 | recall0:0.6506  | recall1:0.6618 | recall2:0.3919
