Epoch:0 | loss:1.16 | acc:0.4622 | prec0:0.4314 | prec1:0.4706 | prec2:0.4906 | recall0:0.6197  | recall1:0.1111 | recall2:0.6341
Epoch:1 | loss:1.17 | acc:0.4800 | prec0:0.4286 | prec1:0.5357 | prec2:0.5217 | recall0:0.6338  | recall1:0.2083 | recall2:0.5854
Epoch:2 | loss:1.20 | acc:0.4267 | prec0:0.3488 | prec1:0.3895 | prec2:0.5057 | recall0:0.2113  | recall1:0.5139 | recall2:0.5366
Epoch:3 | loss:1.00 | acc:0.4711 | prec0:0.4457 | prec1:0.4407 | prec2:0.5270 | recall0:0.5775  | recall1:0.3611 | recall2:0.4756
Epoch:4 | loss:0.98 | acc:0.4533 | prec0:0.4359 | prec1:0.4074 | prec2:0.4952 | recall0:0.2394  | recall1:0.4583 | recall2:0.6341
Epoch:5 | loss:1.00 | acc:0.4756 | prec0:0.4200 | prec1:0.5161 | prec2:0.5213 | recall0:0.5915  | recall1:0.2222 | recall2:0.5976
Epoch:6 | loss:1.16 | acc:0.4711 | prec0:0.4615 | prec1:0.4143 | prec2:0.5222 | recall0:0.4225  | recall1:0.4028 | recall2:0.5732
Epoch:7 | loss:0.93 | acc:0.4489 | prec0:0.4253 | prec1:0.3871 | prec2:0.4860 | recall0:0.5211  | recall1:0.1667 | recall2:0.6341
Epoch:8 | loss:1.07 | acc:0.4578 | prec0:0.4151 | prec1:0.4444 | prec2:0.5109 | recall0:0.6197  | recall1:0.1667 | recall2:0.5732
Epoch:9 | loss:0.96 | acc:0.4756 | prec0:0.4396 | prec1:0.4375 | prec2:0.5349 | recall0:0.5634  | recall1:0.2917 | recall2:0.5610
Epoch:10 | loss:1.18 | acc:0.4622 | prec0:0.4253 | prec1:0.4286 | prec2:0.5104 | recall0:0.5211  | recall1:0.2500 | recall2:0.5976
Epoch:11 | loss:0.98 | acc:0.4667 | prec0:0.4409 | prec1:0.4138 | prec2:0.5405 | recall0:0.5775  | recall1:0.3333 | recall2:0.4878
Epoch:12 | loss:1.11 | acc:0.4756 | prec0:0.4286 | prec1:0.4722 | prec2:0.5275 | recall0:0.5915  | recall1:0.2361 | recall2:0.5854
Epoch:13 | loss:1.11 | acc:0.4756 | prec0:0.4362 | prec1:0.4634 | prec2:0.5222 | recall0:0.5775  | recall1:0.2639 | recall2:0.5732
