Epoch:0 | loss:1.12 | acc:0.4667 | prec0:0.4713 | prec1:0.3571 | prec2:0.5366 | recall0:0.5694  | recall1:0.3175 | recall2:0.4889
Epoch:1 | loss:1.08 | acc:0.4578 | prec0:0.4624 | prec1:0.3605 | prec2:0.6304 | recall0:0.5972  | recall1:0.4921 | recall2:0.3222
Epoch:2 | loss:1.14 | acc:0.4933 | prec0:0.4815 | prec1:0.4082 | prec2:0.5474 | recall0:0.5417  | recall1:0.3175 | recall2:0.5778
Epoch:3 | loss:0.95 | acc:0.4533 | prec0:0.4173 | prec1:0.3478 | prec2:0.5467 | recall0:0.7361  | recall1:0.1270 | recall2:0.4556
Epoch:4 | loss:1.12 | acc:0.4044 | prec0:0.4455 | prec1:0.3333 | prec2:0.8571 | recall0:0.6806  | recall1:0.5714 | recall2:0.0667
Epoch:5 | loss:1.08 | acc:0.4756 | prec0:0.4343 | prec1:0.5333 | prec2:0.5045 | recall0:0.5972  | recall1:0.1270 | recall2:0.6222
Epoch:6 | loss:0.97 | acc:0.4444 | prec0:0.4135 | prec1:0.3103 | prec2:0.5217 | recall0:0.5972  | recall1:0.1429 | recall2:0.5333
Epoch:7 | loss:1.32 | acc:0.4400 | prec0:0.4545 | prec1:0.3295 | prec2:0.5488 | recall0:0.3472  | recall1:0.4603 | recall2:0.5000
Epoch:8 | loss:1.08 | acc:0.4844 | prec0:0.4359 | prec1:0.4839 | prec2:0.5584 | recall0:0.7083  | recall1:0.2381 | recall2:0.4778
Epoch:9 | loss:1.10 | acc:0.4489 | prec0:0.4697 | prec1:0.3600 | prec2:0.5763 | recall0:0.4306  | recall1:0.5714 | recall2:0.3778
Epoch:10 | loss:1.15 | acc:0.4844 | prec0:0.4505 | prec1:0.4259 | prec2:0.5625 | recall0:0.5694  | recall1:0.3651 | recall2:0.5000
Epoch:11 | loss:1.13 | acc:0.4578 | prec0:0.4667 | prec1:0.3590 | prec2:0.5556 | recall0:0.4861  | recall1:0.4444 | recall2:0.4444
Epoch:12 | loss:0.99 | acc:0.4756 | prec0:0.6098 | prec1:0.3894 | prec2:0.5352 | recall0:0.3472  | recall1:0.6984 | recall2:0.4222
Epoch:13 | loss:0.86 | acc:0.5022 | prec0:0.4516 | prec1:0.4906 | prec2:0.6458 | recall0:0.7778  | recall1:0.4127 | recall2:0.3444
Epoch:14 | loss:1.01 | acc:0.5378 | prec0:0.4732 | prec1:0.6957 | prec2:0.5778 | recall0:0.7361  | recall1:0.2540 | recall2:0.5778
Epoch:15 | loss:0.95 | acc:0.5156 | prec0:0.4898 | prec1:0.4706 | prec2:0.5789 | recall0:0.6667  | recall1:0.3810 | recall2:0.4889
Epoch:16 | loss:0.91 | acc:0.5333 | prec0:0.5233 | prec1:0.4805 | prec2:0.6129 | recall0:0.6250  | recall1:0.5873 | recall2:0.4222
Epoch:17 | loss:0.91 | acc:0.4711 | prec0:0.6667 | prec1:0.3714 | prec2:0.6122 | recall0:0.3333  | recall1:0.8254 | recall2:0.3333
Epoch:18 | loss:0.91 | acc:0.5467 | prec0:0.5111 | prec1:0.5424 | prec2:0.5921 | recall0:0.6389  | recall1:0.5079 | recall2:0.5000
Epoch:19 | loss:0.84 | acc:0.5378 | prec0:0.4732 | prec1:0.6364 | prec2:0.5875 | recall0:0.7361  | recall1:0.3333 | recall2:0.5222
Epoch:20 | loss:1.00 | acc:0.5467 | prec0:0.5244 | prec1:0.4810 | prec2:0.6562 | recall0:0.5972  | recall1:0.6032 | recall2:0.4667
Epoch:21 | loss:0.82 | acc:0.5511 | prec0:0.5556 | prec1:0.5000 | prec2:0.6027 | recall0:0.5556  | recall1:0.6349 | recall2:0.4889
Epoch:22 | loss:1.15 | acc:0.5600 | prec0:0.5584 | prec1:0.4935 | prec2:0.6338 | recall0:0.5972  | recall1:0.6032 | recall2:0.5000
Epoch:23 | loss:0.69 | acc:0.5778 | prec0:0.5200 | prec1:0.6304 | prec2:0.6203 | recall0:0.7222  | recall1:0.4603 | recall2:0.5444
Epoch:24 | loss:1.04 | acc:0.5600 | prec0:0.5000 | prec1:0.5667 | prec2:0.6863 | recall0:0.7917  | recall1:0.5397 | recall2:0.3889
Epoch:25 | loss:0.90 | acc:0.5778 | prec0:0.5444 | prec1:0.5738 | prec2:0.6216 | recall0:0.6806  | recall1:0.5556 | recall2:0.5111
Epoch:26 | loss:0.72 | acc:0.5822 | prec0:0.5529 | prec1:0.5758 | prec2:0.6216 | recall0:0.6528  | recall1:0.6032 | recall2:0.5111
