Epoch:0 | loss:1.13 | acc:0.4222 | prec0:nan | prec1:0.3446 | prec2:0.5714 | recall0:0.0000  | recall1:0.7727 | recall2:0.5500
Epoch:1 | loss:1.16 | acc:0.4800 | prec0:0.4653 | prec1:0.3750 | prec2:0.6167 | recall0:0.5949  | recall1:0.3636 | recall2:0.4625
Epoch:2 | loss:1.01 | acc:0.4889 | prec0:0.5333 | prec1:0.4419 | prec2:0.4766 | recall0:0.5063  | recall1:0.2879 | recall2:0.6375
Epoch:3 | loss:0.99 | acc:0.4667 | prec0:0.5306 | prec1:0.4783 | prec2:0.4385 | recall0:0.3291  | recall1:0.3333 | recall2:0.7125
Epoch:4 | loss:1.18 | acc:0.4222 | prec0:0.5385 | prec1:0.3418 | prec2:0.4586 | recall0:0.0886  | recall1:0.4091 | recall2:0.7625
Epoch:5 | loss:1.06 | acc:0.5289 | prec0:0.5000 | prec1:0.5147 | prec2:0.5663 | recall0:0.4684  | recall1:0.5303 | recall2:0.5875
Epoch:6 | loss:0.99 | acc:0.5022 | prec0:0.6316 | prec1:0.4304 | prec2:0.5093 | recall0:0.3038  | recall1:0.5152 | recall2:0.6875
Epoch:7 | loss:1.20 | acc:0.5156 | prec0:0.5205 | prec1:0.5111 | prec2:0.5140 | recall0:0.4810  | recall1:0.3485 | recall2:0.6875
Epoch:8 | loss:1.03 | acc:0.5111 | prec0:0.8333 | prec1:0.4174 | prec2:0.5652 | recall0:0.1899  | recall1:0.7273 | recall2:0.6500
Epoch:9 | loss:0.97 | acc:0.5467 | prec0:0.5846 | prec1:0.5167 | prec2:0.5400 | recall0:0.4810  | recall1:0.4697 | recall2:0.6750
Epoch:10 | loss:1.01 | acc:0.5111 | prec0:0.6571 | prec1:0.4222 | prec2:0.5400 | recall0:0.2911  | recall1:0.5758 | recall2:0.6750
Epoch:11 | loss:0.90 | acc:0.5200 | prec0:0.6410 | prec1:0.4388 | prec2:0.5568 | recall0:0.3165  | recall1:0.6515 | recall2:0.6125
Epoch:12 | loss:1.11 | acc:0.5111 | prec0:0.5476 | prec1:0.4479 | prec2:0.5632 | recall0:0.2911  | recall1:0.6515 | recall2:0.6125
