Epoch:0 | loss:1.18 | acc:0.4356 | prec0:0.5000 | prec1:0.3922 | prec2:0.4545 | recall0:0.3026  | recall1:0.5195 | recall2:0.4861
Epoch:1 | loss:1.01 | acc:0.4889 | prec0:0.4737 | prec1:0.5278 | prec2:0.4894 | recall0:0.5921  | recall1:0.2468 | recall2:0.6389
Epoch:2 | loss:0.90 | acc:0.4933 | prec0:0.4808 | prec1:0.5000 | prec2:0.5068 | recall0:0.6579  | recall1:0.3117 | recall2:0.5139
Epoch:3 | loss:1.04 | acc:0.4800 | prec0:0.4474 | prec1:0.4921 | prec2:0.5417 | recall0:0.6711  | recall1:0.4026 | recall2:0.3611
Epoch:4 | loss:0.92 | acc:0.5067 | prec0:0.5063 | prec1:0.5224 | prec2:0.4937 | recall0:0.5263  | recall1:0.4545 | recall2:0.5417
Epoch:5 | loss:0.97 | acc:0.4800 | prec0:0.4694 | prec1:0.4792 | prec2:0.5161 | recall0:0.6053  | recall1:0.5974 | recall2:0.2222
Epoch:6 | loss:1.06 | acc:0.5156 | prec0:0.4771 | prec1:0.5909 | prec2:0.5278 | recall0:0.6842  | recall1:0.3377 | recall2:0.5278
Epoch:7 | loss:1.05 | acc:0.4756 | prec0:0.4380 | prec1:0.5167 | prec2:0.5714 | recall0:0.7895  | recall1:0.4026 | recall2:0.2222
Epoch:8 | loss:0.83 | acc:0.5067 | prec0:0.4592 | prec1:0.5789 | prec2:0.5143 | recall0:0.5921  | recall1:0.4286 | recall2:0.5000
Epoch:9 | loss:1.01 | acc:0.5022 | prec0:0.4583 | prec1:0.5490 | prec2:0.5556 | recall0:0.7237  | recall1:0.3636 | recall2:0.4167
Epoch:10 | loss:0.95 | acc:0.5333 | prec0:0.5316 | prec1:0.5395 | prec2:0.5286 | recall0:0.5526  | recall1:0.5325 | recall2:0.5139
Epoch:11 | loss:1.03 | acc:0.5244 | prec0:0.4900 | prec1:0.5493 | prec2:0.5556 | recall0:0.6447  | recall1:0.5065 | recall2:0.4167
Epoch:12 | loss:0.88 | acc:0.4933 | prec0:0.5000 | prec1:0.4789 | prec2:0.5000 | recall0:0.6711  | recall1:0.4416 | recall2:0.3611
Epoch:13 | loss:1.10 | acc:0.5244 | prec0:0.5089 | prec1:0.5357 | prec2:0.5439 | recall0:0.7500  | recall1:0.3896 | recall2:0.4306
Epoch:14 | loss:1.02 | acc:0.5422 | prec0:0.5045 | prec1:0.5968 | prec2:0.5577 | recall0:0.7368  | recall1:0.4805 | recall2:0.4028
Epoch:15 | loss:1.16 | acc:0.5111 | prec0:0.5158 | prec1:0.5000 | prec2:0.5192 | recall0:0.6447  | recall1:0.5065 | recall2:0.3750
Epoch:16 | loss:1.22 | acc:0.5378 | prec0:0.5278 | prec1:0.5352 | prec2:0.5652 | recall0:0.7500  | recall1:0.4935 | recall2:0.3611
Epoch:17 | loss:0.72 | acc:0.5378 | prec0:0.4917 | prec1:0.6667 | prec2:0.5333 | recall0:0.7763  | recall1:0.3896 | recall2:0.4444
Epoch:18 | loss:0.77 | acc:0.5600 | prec0:0.5747 | prec1:0.5513 | prec2:0.5500 | recall0:0.6579  | recall1:0.5584 | recall2:0.4583
Epoch:19 | loss:0.78 | acc:0.5333 | prec0:0.5326 | prec1:0.5301 | prec2:0.5400 | recall0:0.6447  | recall1:0.5714 | recall2:0.3750
Epoch:20 | loss:0.94 | acc:0.5378 | prec0:0.6129 | prec1:0.5000 | prec2:0.5294 | recall0:0.5000  | recall1:0.7273 | recall2:0.3750
Epoch:21 | loss:1.27 | acc:0.5556 | prec0:0.5632 | prec1:0.5556 | prec2:0.5439 | recall0:0.6447  | recall1:0.5844 | recall2:0.4306
Epoch:22 | loss:1.58 | acc:0.5467 | prec0:0.5146 | prec1:0.6491 | prec2:0.5077 | recall0:0.6974  | recall1:0.4805 | recall2:0.4583
