Epoch:0 | loss:1.14 | acc:0.4089 | prec0:0.4805 | prec1:0.6667 | prec2:0.3655 | recall0:0.5068  | recall1:0.0241 | recall2:0.7681
Epoch:1 | loss:0.81 | acc:0.4711 | prec0:0.5849 | prec1:0.4559 | prec2:0.4231 | recall0:0.4247  | recall1:0.3735 | recall2:0.6377
Epoch:2 | loss:1.18 | acc:0.5156 | prec0:0.4889 | prec1:0.5366 | prec2:0.5283 | recall0:0.6027  | recall1:0.5301 | recall2:0.4058
Epoch:3 | loss:1.07 | acc:0.5422 | prec0:0.5190 | prec1:0.5811 | prec2:0.5278 | recall0:0.5616  | recall1:0.5181 | recall2:0.5507
Epoch:4 | loss:1.30 | acc:0.5022 | prec0:0.4673 | prec1:0.6364 | prec2:0.4941 | recall0:0.6849  | recall1:0.2530 | recall2:0.6087
Epoch:5 | loss:1.11 | acc:0.5511 | prec0:0.5393 | prec1:0.5568 | prec2:0.5625 | recall0:0.6575  | recall1:0.5904 | recall2:0.3913
Epoch:6 | loss:0.85 | acc:0.5022 | prec0:0.8077 | prec1:0.4451 | prec2:0.5769 | recall0:0.2877  | recall1:0.9277 | recall2:0.2174
Epoch:7 | loss:1.17 | acc:0.5378 | prec0:0.8947 | prec1:0.4889 | prec2:0.5352 | recall0:0.2329  | recall1:0.7952 | recall2:0.5507
Epoch:8 | loss:1.02 | acc:0.5556 | prec0:0.6190 | prec1:0.5333 | prec2:0.5238 | recall0:0.5342  | recall1:0.7711 | recall2:0.3188
Epoch:9 | loss:0.94 | acc:0.5511 | prec0:0.4862 | prec1:0.7292 | prec2:0.5294 | recall0:0.7260  | recall1:0.4217 | recall2:0.5217
Epoch:10 | loss:0.98 | acc:0.5911 | prec0:0.6393 | prec1:0.6892 | prec2:0.4778 | recall0:0.5342  | recall1:0.6145 | recall2:0.6232
Epoch:11 | loss:0.80 | acc:0.5600 | prec0:0.4775 | prec1:0.7500 | prec2:0.5606 | recall0:0.7260  | recall1:0.4337 | recall2:0.5362
Epoch:12 | loss:0.98 | acc:0.5644 | prec0:0.5000 | prec1:0.6852 | prec2:0.5652 | recall0:0.6986  | recall1:0.4458 | recall2:0.5652
