Epoch:0 | loss:1.16 | acc:0.3956 | prec0:0.5000 | prec1:0.2692 | prec2:0.3529 | recall0:0.4396  | recall1:0.1129 | recall2:0.5833
Epoch:1 | loss:1.13 | acc:0.3644 | prec0:0.6190 | prec1:0.2769 | prec2:0.3669 | recall0:0.1429  | recall1:0.2903 | recall2:0.7083
Epoch:2 | loss:1.14 | acc:0.3689 | prec0:0.4110 | prec1:0.3182 | prec2:0.3611 | recall0:0.3297  | recall1:0.2258 | recall2:0.5417
Epoch:3 | loss:1.05 | acc:0.3911 | prec0:0.6000 | prec1:0.3667 | prec2:0.3643 | recall0:0.1648  | recall1:0.3548 | recall2:0.7083
Epoch:4 | loss:0.98 | acc:0.3200 | prec0:0.5312 | prec1:0.2358 | prec2:0.3448 | recall0:0.1868  | recall1:0.4032 | recall2:0.4167
Epoch:5 | loss:1.19 | acc:0.4178 | prec0:0.4476 | prec1:0.3478 | prec2:0.4021 | recall0:0.5165  | recall1:0.1290 | recall2:0.5417
Epoch:6 | loss:1.19 | acc:0.3378 | prec0:0.4000 | prec1:0.2766 | prec2:0.3802 | recall0:0.0440  | recall1:0.4194 | recall2:0.6389
Epoch:7 | loss:1.00 | acc:0.3867 | prec0:0.4500 | prec1:0.3143 | prec2:0.3636 | recall0:0.3956  | recall1:0.1774 | recall2:0.5556
Epoch:8 | loss:1.04 | acc:0.3956 | prec0:0.4054 | prec1:0.3200 | prec2:0.4257 | recall0:0.3297  | recall1:0.2581 | recall2:0.5972
Epoch:9 | loss:1.07 | acc:0.3778 | prec0:0.4412 | prec1:0.2857 | prec2:0.3603 | recall0:0.3297  | recall1:0.0968 | recall2:0.6806
Epoch:10 | loss:0.86 | acc:0.4044 | prec0:0.5152 | prec1:0.2963 | prec2:0.3712 | recall0:0.3736  | recall1:0.1290 | recall2:0.6806
Epoch:11 | loss:1.04 | acc:0.3556 | prec0:0.4286 | prec1:0.2500 | prec2:0.3636 | recall0:0.3956  | recall1:0.2581 | recall2:0.3889
Epoch:12 | loss:0.88 | acc:0.3956 | prec0:0.5000 | prec1:0.2812 | prec2:0.3590 | recall0:0.4176  | recall1:0.1452 | recall2:0.5833
Epoch:13 | loss:1.12 | acc:0.3378 | prec0:0.4800 | prec1:0.2791 | prec2:0.3509 | recall0:0.1319  | recall1:0.3871 | recall2:0.5556
Epoch:14 | loss:1.09 | acc:0.4044 | prec0:0.5077 | prec1:0.3529 | prec2:0.3651 | recall0:0.3626  | recall1:0.1935 | recall2:0.6389
